unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1632096000000,2021-09-20 00:00:00,BTT/USDT,0.00383100,0.00383900,0.00322800,0.00333200,13282227297.00000000,46341732.13918000,147221
1632009600000,2021-09-19 00:00:00,BTT/USDT,0.00394600,0.00400000,0.00379000,0.00383100,5793704864.00000000,22514461.72570400,64230
1631923200000,2021-09-18 00:00:00,BTT/USDT,0.00391900,0.00400000,0.00387500,0.00394600,4192834872.00000000,16600380.16226400,58758
1631836800000,2021-09-17 00:00:00,BTT/USDT,0.00404000,0.00408400,0.00387500,0.00391900,7675992255.00000000,30551017.01337200,83063
1631750400000,2021-09-16 00:00:00,BTT/USDT,0.00413300,0.00415500,0.00396100,0.00404000,6555323268.00000000,26605159.35151800,75080
1631664000000,2021-09-15 00:00:00,BTT/USDT,0.00408100,0.00416600,0.00398200,0.00413200,6640850330.00000000,27106436.81238200,78226
1631577600000,2021-09-14 00:00:00,BTT/USDT,0.00391700,0.00413900,0.00387700,0.00408200,10749731645.00000000,43358469.28348300,109809
1631491200000,2021-09-13 00:00:00,BTT/USDT,0.00415300,0.00425000,0.00372800,0.00391800,11327186020.00000000,44642152.51399000,123093
1631404800000,2021-09-12 00:00:00,BTT/USDT,0.00391000,0.00434400,0.00382500,0.00415500,19321665875.00000000,80370221.40396100,206062
1631318400000,2021-09-11 00:00:00,BTT/USDT,0.00385800,0.00398500,0.00382900,0.00391300,5368971947.00000000,21043674.36075200,64980
1631232000000,2021-09-10 00:00:00,BTT/USDT,0.00409700,0.00416000,0.00375500,0.00385900,9866500813.00000000,38956399.71897400,102265
1631145600000,2021-09-09 00:00:00,BTT/USDT,0.00410100,0.00418700,0.00398600,0.00409700,12971036874.00000000,53195980.19715500,117920
1631059200000,2021-09-08 00:00:00,BTT/USDT,0.00399300,0.00418400,0.00365300,0.00410100,20765036999.00000000,83043193.37588200,186656
1630972800000,2021-09-07 00:00:00,BTT/USDT,0.00485700,0.00501400,0.00308000,0.00399400,31973464618.00000000,134887174.08821570,354074
1630886400000,2021-09-06 00:00:00,BTT/USDT,0.00493100,0.00504600,0.00449300,0.00485900,17034877162.00000000,82612164.73811200,221071
1630800000000,2021-09-05 00:00:00,BTT/USDT,0.00478200,0.00502600,0.00468000,0.00493100,14867556871.00000000,72280931.45641600,185763
1630713600000,2021-09-04 00:00:00,BTT/USDT,0.00487400,0.00496500,0.00467300,0.00478300,15702294678.00000000,75672756.43379200,184452
1630627200000,2021-09-03 00:00:00,BTT/USDT,0.00470500,0.00535000,0.00456000,0.00487400,49418638692.00000000,248849211.83509990,568856
1630540800000,2021-09-02 00:00:00,BTT/USDT,0.00442600,0.00483600,0.00436600,0.00470600,28879358094.00000000,133792952.12296190,309543
1630454400000,2021-09-01 00:00:00,BTT/USDT,0.00421500,0.00446000,0.00410900,0.00442600,16092304152.00000000,69828240.59990490,160809
1630368000000,2021-08-31 00:00:00,BTT/USDT,0.00401400,0.00438200,0.00395300,0.00421500,17409573968.00000000,73281427.71330600,161358
1630281600000,2021-08-30 00:00:00,BTT/USDT,0.00420500,0.00424400,0.00398700,0.00401500,6392410825.00000000,26196689.97956400,68530
1630195200000,2021-08-29 00:00:00,BTT/USDT,0.00419900,0.00444070,0.00416000,0.00420600,11430519398.00000000,48740320.32916720,115306
1630108800000,2021-08-28 00:00:00,BTT/USDT,0.00428800,0.00428900,0.00411900,0.00419900,7050908165.00000000,29567041.79989900,69272
