unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1655424000000,2022-06-17 00:00:00,LINK/USDT,6.36000000,6.74000000,6.26000000,6.36000000,8044145.27000000,52014916.98230000,95609
1655337600000,2022-06-16 00:00:00,LINK/USDT,7.33000000,7.51000000,6.20000000,6.36000000,16785768.12000000,111579849.28360000,177180
1655251200000,2022-06-15 00:00:00,LINK/USDT,6.73000000,7.38000000,5.83000000,7.33000000,28804901.14000000,187200794.69550000,297838
1655164800000,2022-06-14 00:00:00,LINK/USDT,5.92000000,6.88000000,5.39000000,6.74000000,22195143.72000000,138443843.01850000,227019
1655078400000,2022-06-13 00:00:00,LINK/USDT,6.26000000,6.35000000,5.30000000,5.93000000,23703953.67000000,137029443.70315000,251507
1654992000000,2022-06-12 00:00:00,LINK/USDT,7.04000000,7.14000000,6.25000000,6.27000000,10758386.83000000,72087245.01190000,120739
1654905600000,2022-06-11 00:00:00,LINK/USDT,8.04000000,8.42000000,6.94000000,7.04000000,12079552.59000000,91748233.01230000,145034
1654819200000,2022-06-10 00:00:00,LINK/USDT,9.27000000,9.54000000,8.00000000,8.04000000,12553253.98000000,109820757.85690000,168882
1654732800000,2022-06-09 00:00:00,LINK/USDT,8.71000000,9.64000000,8.49000000,9.27000000,12151419.13000000,111309516.33470000,162765
1654646400000,2022-06-08 00:00:00,LINK/USDT,8.72000000,9.00000000,8.23000000,8.70000000,12751229.89000000,109136255.14100000,158572
1654560000000,2022-06-07 00:00:00,LINK/USDT,7.98000000,9.00000000,7.31000000,8.71000000,11449915.03000000,94007882.79190000,150453
1654473600000,2022-06-06 00:00:00,LINK/USDT,7.64000000,8.20000000,7.62000000,7.97000000,6805688.94000000,53998159.37220000,86753
1654387200000,2022-06-05 00:00:00,LINK/USDT,7.41000000,7.89000000,7.25000000,7.64000000,5204882.16000000,39043094.18220000,63521
1654300800000,2022-06-04 00:00:00,LINK/USDT,6.86000000,7.44000000,6.68000000,7.40000000,3007035.99000000,21208428.07140000,38844
1654214400000,2022-06-03 00:00:00,LINK/USDT,7.19000000,7.22000000,6.69000000,6.85000000,3738907.20000000,25773951.66620000,45498
1654128000000,2022-06-02 00:00:00,LINK/USDT,6.93000000,7.25000000,6.81000000,7.19000000,3846549.94000000,26875630.64900000,46571
1654041600000,2022-06-01 00:00:00,LINK/USDT,7.59000000,7.77000000,6.75000000,6.93000000,6436515.03000000,46981037.08940000,78373
1653955200000,2022-05-31 00:00:00,LINK/USDT,7.45000000,7.73000000,7.18000000,7.59000000,5256209.91000000,39252966.07770000,71666
1653868800000,2022-05-30 00:00:00,LINK/USDT,6.72000000,7.52000000,6.65000000,7.46000000,5964086.79000000,42810935.36580000,70287
1653782400000,2022-05-29 00:00:00,LINK/USDT,6.58000000,6.75000000,6.34000000,6.71000000,2495176.05000000,16420032.15760000,28955
1653696000000,2022-05-28 00:00:00,LINK/USDT,6.29000000,6.66000000,6.21000000,6.58000000,3597414.00000000,23194522.11200000,39602
1653609600000,2022-05-27 00:00:00,LINK/USDT,6.57000000,6.71000000,6.20000000,6.29000000,6403701.79000000,41229793.39640000,76294
1653523200000,2022-05-26 00:00:00,LINK/USDT,6.96000000,7.09000000,6.22000000,6.57000000,6011561.06000000,39950162.15380000,67279
1653436800000,2022-05-25 00:00:00,LINK/USDT,7.23000000,7.40000000,6.94000000,6.96000000,4738917.15000000,33720204.07340000,52321
1653350400000,2022-05-24 00:00:00,LINK/USDT,7.03000000,7.81000000,6.72000000,7.23000000,5997773.04000000,42160985.61230000,69285
1653264000000,2022-05-23 00:00:00,LINK/USDT,7.32000000,7.68000000,6.98000000,7.02000000,5136136.21000000,37995958.75300000,67442
1653177600000,2022-05-22 00:00:00,LINK/USDT,7.05000000,7.41000000,6.92000000,7.33000000,5525822.44000000,40008400.72540000,57509
1653091200000,2022-05-21 00:00:00,LINK/USDT,6.86000000,7.12000000,6.77000000,7.06000000,2165477.61000000,15102458.54240000,30583
1653004800000,2022-05-20 00:00:00,LINK/USDT,7.23000000,7.37000000,6.75000000,6.87000000,5326415.70000000,37572689.20740000,92583
1652918400000,2022-05-19 00:00:00,LINK/USDT,6.81000000,7.26000000,6.64000000,7.22000000,5891795.13000000,41012245.02760000,74787
1652832000000,2022-05-18 00:00:00,LINK/USDT,7.72000000,7.81000000,6.78000000,6.81000000,5450468.13000000,39277333.09700000,73304
1652745600000,2022-05-17 00:00:00,LINK/USDT,7.42000000,7.98000000,7.30000000,7.72000000,5287316.89000000,40466316.40930000,79751
1652659200000,2022-05-16 00:00:00,LINK/USDT,7.97000000,7.97000000,7.16000000,7.42000000,7682510.94000000,56982782.47870000,106754
1652572800000,2022-05-15 00:00:00,LINK/USDT,7.26000000,7.99000000,7.01000000,7.96000000,5054597.35000000,37873868.88940000,72130
1652486400000,2022-05-14 00:00:00,LINK/USDT,7.14000000,7.44000000,6.64000000,7.26000000,5661831.53000000,39769756.77760000,73964
1652400000000,2022-05-13 00:00:00,LINK/USDT,6.57000000,7.80000000,6.48000000,7.15000000,9752518.30000000,70512452.18050000,130650
1652313600000,2022-05-12 00:00:00,LINK/USDT,6.95000000,7.43000000,5.53000000,6.56000000,20649629.96500000,131329606.19725000,273386
1652227200000,2022-05-11 00:00:00,LINK/USDT,8.58000000,8.85000000,6.54000000,6.95000000,18694665.89100000,146064756.89857300,309387
1652140800000,2022-05-10 00:00:00,LINK/USDT,8.10000000,9.33000000,7.89000000,8.59000000,13985725.04800000,121134236.56925100,209164
1652054400000,2022-05-09 00:00:00,LINK/USDT,10.00000000,10.16000000,8.01000000,8.10000000,11098749.49000000,100610655.72018300,168827
