unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1654992000000,2022-06-12 00:00:00,ADA/USDT,0.55410000,0.56100000,0.48930000,0.49040000,397530507.90000000,206803633.39901000,469363
1654905600000,2022-06-11 00:00:00,ADA/USDT,0.57440000,0.61750000,0.54300000,0.55400000,300758115.70000000,172700700.11280000,374455
1654819200000,2022-06-10 00:00:00,ADA/USDT,0.63230000,0.63610000,0.57000000,0.57440000,272263844.10000000,162542356.57568000,358386
1654732800000,2022-06-09 00:00:00,ADA/USDT,0.64070000,0.65790000,0.62580000,0.63230000,192310885.50000000,123401495.81414000,282642
1654646400000,2022-06-08 00:00:00,ADA/USDT,0.61400000,0.66960000,0.60870000,0.64080000,394267374.70000000,253883949.48087000,581779
1654560000000,2022-06-07 00:00:00,ADA/USDT,0.60910000,0.64500000,0.57150000,0.61410000,338812294.70000000,205352604.40458000,471354
1654473600000,2022-06-06 00:00:00,ADA/USDT,0.56750000,0.64720000,0.56510000,0.60910000,341502376.80000000,210111671.92015000,453386
1654387200000,2022-06-05 00:00:00,ADA/USDT,0.56660000,0.58080000,0.55380000,0.56740000,95277593.60000000,54027559.10099000,126913
1654300800000,2022-06-04 00:00:00,ADA/USDT,0.56000000,0.57180000,0.54490000,0.56650000,108779268.90000000,60846034.84104000,166996
1654214400000,2022-06-03 00:00:00,ADA/USDT,0.58720000,0.60550000,0.53900000,0.56000000,206257910.90000000,116992848.81495000,300561
1654128000000,2022-06-02 00:00:00,ADA/USDT,0.55170000,0.59810000,0.54870000,0.58710000,306125734.20000000,175597999.00685000,410361
1654041600000,2022-06-01 00:00:00,ADA/USDT,0.62660000,0.63140000,0.53590000,0.55160000,355477399.60000000,207077770.67488000,455720
1653955200000,2022-05-31 00:00:00,ADA/USDT,0.56980000,0.68930000,0.56780000,0.62680000,663619489.70000000,419357527.62486000,1006434
1653868800000,2022-05-30 00:00:00,ADA/USDT,0.48190000,0.57770000,0.47720000,0.56980000,259278313.40000000,137534136.01408000,322644
1653782400000,2022-05-29 00:00:00,ADA/USDT,0.46460000,0.48270000,0.45590000,0.48200000,88626528.90000000,41608754.06332000,97923
1653696000000,2022-05-28 00:00:00,ADA/USDT,0.45660000,0.46930000,0.44810000,0.46460000,105935970.40000000,48699017.69142000,111150
1653609600000,2022-05-27 00:00:00,ADA/USDT,0.47880000,0.48390000,0.44540000,0.45660000,268406015.60000000,123982040.01051000,278146
1653523200000,2022-05-26 00:00:00,ADA/USDT,0.51450000,0.52100000,0.46140000,0.47890000,243664954.10000000,119303698.33202000,255129
1653436800000,2022-05-25 00:00:00,ADA/USDT,0.52180000,0.53280000,0.50710000,0.51460000,133554250.30000000,69046651.59821000,145961
1653350400000,2022-05-24 00:00:00,ADA/USDT,0.51330000,0.52550000,0.49270000,0.52190000,170905795.60000000,87550942.76270000,177961
1653264000000,2022-05-23 00:00:00,ADA/USDT,0.54160000,0.55950000,0.50390000,0.51340000,189427959.80000000,101951558.22317000,271571
1653177600000,2022-05-22 00:00:00,ADA/USDT,0.52860000,0.54880000,0.52190000,0.54160000,104514258.80000000,56137371.78749000,149250
1653091200000,2022-05-21 00:00:00,ADA/USDT,0.51620000,0.53880000,0.50860000,0.52860000,85487336.00000000,45014383.53085000,134493
1653004800000,2022-05-20 00:00:00,ADA/USDT,0.53340000,0.54500000,0.50120000,0.51620000,174293262.60000000,91285754.18405000,258211
1652918400000,2022-05-19 00:00:00,ADA/USDT,0.50590000,0.54670000,0.49170000,0.53340000,205816006.70000000,107511001.86500000,310518
1652832000000,2022-05-18 00:00:00,ADA/USDT,0.57760000,0.58630000,0.50260000,0.50590000,203077123.90000000,109204097.70007000,325319
1652745600000,2022-05-17 00:00:00,ADA/USDT,0.55690000,0.59990000,0.55110000,0.57780000,178084619.60000000,102370872.29060000,315535
1652659200000,2022-05-16 00:00:00,ADA/USDT,0.59820000,0.61460000,0.54440000,0.55690000,280903516.10000000,159793334.64289000,465282
1652572800000,2022-05-15 00:00:00,ADA/USDT,0.53740000,0.59990000,0.51480000,0.59810000,195264575.40000000,108585670.20941000,327792
1652486400000,2022-05-14 00:00:00,ADA/USDT,0.52890000,0.55720000,0.48880000,0.53720000,253441055.60000000,132311337.37410000,422322
1652400000000,2022-05-13 00:00:00,ADA/USDT,0.47330000,0.60940000,0.46890000,0.52900000,458070252.80000000,253922648.53897000,695710
1652313600000,2022-05-12 00:00:00,ADA/USDT,0.51860000,0.55080000,0.40190000,0.47330000,815465798.46000000,375840228.05598600,1165637
1652227200000,2022-05-11 00:00:00,ADA/USDT,0.62860000,0.66310000,0.47270000,0.51870000,623456066.51000000,361445760.60107500,1045207
1652140800000,2022-05-10 00:00:00,ADA/USDT,0.60250000,0.70100000,0.58330000,0.62860000,436850308.60000000,283217801.10111000,751497
1652054400000,2022-05-09 00:00:00,ADA/USDT,0.74040000,0.75420000,0.59760000,0.60190000,472342566.94000000,315923785.34239200,741784
1651968000000,2022-05-08 00:00:00,ADA/USDT,0.76050000,0.76630000,0.72540000,0.74030000,175139530.39000000,130209850.91065200,236153
1651881600000,2022-05-07 00:00:00,ADA/USDT,0.78320000,0.78580000,0.74670000,0.76040000,126808896.00000000,97951871.70325000,173806
1651795200000,2022-05-06 00:00:00,ADA/USDT,0.78840000,0.79970000,0.76250000,0.78320000,244058670.20000000,191381224.54187000,367204
1651708800000,2022-05-05 00:00:00,ADA/USDT,0.89860000,0.90580000,0.77160000,0.78840000,364970629.30000000,304513975.74832000,574367
1651622400000,2022-05-04 00:00:00,ADA/USDT,0.77120000,0.89920000,0.76770000,0.89850000,256649760.00000000,213655126.17362000,413280
1651536000000,2022-05-03 00:00:00,ADA/USDT,0.78080000,0.79940000,0.76050000,0.77110000,96429722.50000000,75410127.88362000,144918
1651449600000,2022-05-02 00:00:00,ADA/USDT,0.78940000,0.79680000,0.76360000,0.78090000,128907016.80000000,100687424.37431000,191863
1651363200000,2022-05-01 00:00:00,ADA/USDT,0.75550000,0.80020000,0.74510000,0.78950000,137793227.30000000,106582681.54010000,207348
1651276800000,2022-04-30 00:00:00,ADA/USDT,0.80500000,0.81790000,0.73510000,0.75560000,147364161.34000000,115290631.74037000,209037
1651190400000,2022-04-29 00:00:00,ADA/USDT,0.84320000,0.84950000,0.78910000,0.80480000,139320128.30000000,113905864.56138000,193102
1651104000000,2022-04-28 00:00:00,ADA/USDT,0.84010000,0.85260000,0.82580000,0.84320000,134885232.90000000,113478674.58921000,189397
1651017600000,2022-04-27 00:00:00,ADA/USDT,0.82580000,0.85620000,0.81870000,0.84010000,148780516.90000000,124685106.18968000,234750
1650931200000,2022-04-26 00:00:00,ADA/USDT,0.89750000,0.90300000,0.81500000,0.82590000,176710067.00000000,151087067.46235000,273090
1650844800000,2022-04-25 00:00:00,ADA/USDT,0.88500000,0.90390000,0.82610000,0.89740000,171944524.50000000,148027393.73861000,277318
1650758400000,2022-04-24 00:00:00,ADA/USDT,0.88600000,0.89900000,0.87700000,0.88600000,49191017.00000000,43699800.47420000,70622
1650672000000,2022-04-23 00:00:00,ADA/USDT,0.90600000,0.91300000,0.88100000,0.88600000,34559067.50000000,30978218.32970000,56634
1650585600000,2022-04-22 00:00:00,ADA/USDT,0.91000000,0.92400000,0.89100000,0.90600000,82391016.70000000,74969570.34520000,96782
1650499200000,2022-04-21 00:00:00,ADA/USDT,0.93700000,0.97100000,0.89100000,0.91000000,105007978.40000000,98683813.64590000,150741
1650412800000,2022-04-20 00:00:00,ADA/USDT,0.95200000,0.97600000,0.93000000,0.93700000,93644303.60000000,89151003.94770000,125231
1650326400000,2022-04-19 00:00:00,ADA/USDT,0.93600000,0.95700000,0.92700000,0.95200000,75432689.70000000,70879191.94390000,95583
1650240000000,2022-04-18 00:00:00,ADA/USDT,0.91400000,0.93900000,0.87400000,0.93700000,118870539.60000000,107348406.18140000,157240
