unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1648080000000,2022-03-24 00:00:00,FIL/USDT,19.33000000,19.83000000,18.90000000,19.61000000,3115234.95000000,60399816.49100000,116598
1647993600000,2022-03-23 00:00:00,FIL/USDT,18.30000000,19.64000000,18.28000000,19.33000000,3646378.01000000,69518697.48670000,137193
1647907200000,2022-03-22 00:00:00,FIL/USDT,17.83000000,18.70000000,17.75000000,18.30000000,2249679.19000000,41187566.98000000,89352
1647820800000,2022-03-21 00:00:00,FIL/USDT,17.65000000,17.99000000,17.34000000,17.83000000,1424116.17000000,25257495.00360000,53527
1647734400000,2022-03-20 00:00:00,FIL/USDT,18.22000000,18.29000000,17.21000000,17.64000000,1600180.37000000,28479496.75980000,61752
1647648000000,2022-03-19 00:00:00,FIL/USDT,17.61000000,18.40000000,17.56000000,18.21000000,1890958.07000000,34076001.12000000,76681
1647561600000,2022-03-18 00:00:00,FIL/USDT,17.44000000,17.84000000,17.08000000,17.61000000,1319665.72000000,22956526.92800000,47922
1647475200000,2022-03-17 00:00:00,FIL/USDT,17.43000000,17.80000000,17.23000000,17.43000000,1211744.76000000,21209450.74760000,43770
1647388800000,2022-03-16 00:00:00,FIL/USDT,16.81000000,17.50000000,16.73000000,17.42000000,1913267.23000000,32700661.09100000,72786
1647302400000,2022-03-15 00:00:00,FIL/USDT,17.46000000,17.51000000,16.50000000,16.80000000,1609681.89000000,27162021.27460000,63844
1647216000000,2022-03-14 00:00:00,FIL/USDT,17.25000000,17.70000000,17.06000000,17.46000000,1038261.16000000,18027382.46040000,43129
1647129600000,2022-03-13 00:00:00,FIL/USDT,17.72000000,18.07000000,17.03000000,17.24000000,1002205.46000000,17705076.29270000,43587
1647043200000,2022-03-12 00:00:00,FIL/USDT,17.37000000,19.38000000,17.33000000,17.71000000,1691759.90000000,30574764.77110000,76122
1646956800000,2022-03-11 00:00:00,FIL/USDT,17.90000000,18.06000000,17.16000000,17.37000000,1238992.44000000,21823244.15690000,54855
1646870400000,2022-03-10 00:00:00,FIL/USDT,18.83000000,18.87000000,17.31000000,17.89000000,1863671.05000000,33327336.84810000,87169
