unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT,tradecount
1648252800000,2022-03-26 00:00:00,TRX/USDT,0.06436000,0.06639000,0.06381000,0.06632000,1699386263.40000000,110054719.67260400,182754
1648166400000,2022-03-25 00:00:00,TRX/USDT,0.06564000,0.06664000,0.06385000,0.06437000,1467402618.80000000,96070500.89139700,196041
1648080000000,2022-03-24 00:00:00,TRX/USDT,0.06432000,0.06594000,0.06376000,0.06564000,1493162200.00000000,96838691.23498100,186411
1647993600000,2022-03-23 00:00:00,TRX/USDT,0.06343000,0.06488000,0.06317000,0.06431000,1330267567.30000000,85160261.79557000,163556
1647907200000,2022-03-22 00:00:00,TRX/USDT,0.06177000,0.06394000,0.06161000,0.06344000,1638397049.50000000,103229551.54820200,168743
1647820800000,2022-03-21 00:00:00,TRX/USDT,0.06155000,0.06186000,0.06075000,0.06177000,1558435732.30000000,95740938.74480200,132717
1647734400000,2022-03-20 00:00:00,TRX/USDT,0.06191000,0.06246000,0.06083000,0.06156000,1559785143.50000000,96049079.55718700,136724
1647648000000,2022-03-19 00:00:00,TRX/USDT,0.06162000,0.06216000,0.06124000,0.06191000,909850420.40000000,56145521.49841500,93977
1647561600000,2022-03-18 00:00:00,TRX/USDT,0.06072000,0.06183000,0.06005000,0.06162000,905420804.10000000,54892146.18575400,94800
1647475200000,2022-03-17 00:00:00,TRX/USDT,0.06107000,0.06112000,0.06056000,0.06071000,808225631.60000000,49174233.77828000,86114
1647388800000,2022-03-16 00:00:00,TRX/USDT,0.06050000,0.06154000,0.05941000,0.06107000,1377940873.50000000,83323753.05057600,130336
1647302400000,2022-03-15 00:00:00,TRX/USDT,0.06007000,0.06066000,0.05956000,0.06050000,995932338.30000000,59869942.40257800,102708
1647216000000,2022-03-14 00:00:00,TRX/USDT,0.05930000,0.06043000,0.05890000,0.06007000,1061489473.60000000,63615125.00049400,94826
1647129600000,2022-03-13 00:00:00,TRX/USDT,0.05967000,0.06028000,0.05892000,0.05931000,801855246.40000000,47937099.73964500,84846
1647043200000,2022-03-12 00:00:00,TRX/USDT,0.06022000,0.06073000,0.05956000,0.05967000,801323675.40000000,48055157.21431600,83708
1646956800000,2022-03-11 00:00:00,TRX/USDT,0.05989000,0.06089000,0.05897000,0.06022000,1355529610.20000000,81326256.36565100,124185
1646870400000,2022-03-10 00:00:00,TRX/USDT,0.06080000,0.06085000,0.05785000,0.05989000,1732448254.70000000,102281692.93170100,154020
1646784000000,2022-03-09 00:00:00,TRX/USDT,0.06054000,0.06263000,0.06035000,0.06080000,1518100539.20000000,93347725.23003800,163556
1646697600000,2022-03-08 00:00:00,TRX/USDT,0.05859000,0.06111000,0.05846000,0.06054000,1398516172.10000000,84342913.25754200,134800
1646611200000,2022-03-07 00:00:00,TRX/USDT,0.05889000,0.06061000,0.05782000,0.05859000,1126215616.50000000,66521984.80654000,120211
1646524800000,2022-03-06 00:00:00,TRX/USDT,0.06037000,0.06089000,0.05868000,0.05889000,1009504199.50000000,60511035.24851400,107766
1646438400000,2022-03-05 00:00:00,TRX/USDT,0.05829000,0.06091000,0.05771000,0.06037000,1004176906.20000000,59455661.05145300,115707
1646352000000,2022-03-04 00:00:00,TRX/USDT,0.05996000,0.06021000,0.05750000,0.05829000,1404191923.50000000,82572116.35259600,139652
1646265600000,2022-03-03 00:00:00,TRX/USDT,0.06153000,0.06162000,0.05912000,0.05995000,1170863043.40000000,70751659.37173300,126521
1646179200000,2022-03-02 00:00:00,TRX/USDT,0.06220000,0.06292000,0.06079000,0.06153000,1364084861.30000000,84455442.77680200,148278
1646092800000,2022-03-01 00:00:00,TRX/USDT,0.06176000,0.06283000,0.06101000,0.06219000,1410581955.60000000,87216541.25076400,168959
1646006400000,2022-02-28 00:00:00,TRX/USDT,0.05808000,0.06277000,0.05743000,0.06176000,1492800339.80000000,88491882.12094700,182795
1645920000000,2022-02-27 00:00:00,TRX/USDT,0.05961000,0.06077000,0.05738000,0.05807000,1480352652.20000000,87910770.74926100,171354
1645833600000,2022-02-26 00:00:00,TRX/USDT,0.05944000,0.06161000,0.05872000,0.05961000,1928230861.40000000,115626017.96287100,213048
1645747200000,2022-02-25 00:00:00,TRX/USDT,0.06109000,0.06281000,0.05540000,0.05943000,3173392364.90000000,188298087.41090000,333397
1645660800000,2022-02-24 00:00:00,TRX/USDT,0.06080000,0.06192000,0.05612000,0.06110000,2680142979.80000000,157472347.41119000,292686
1645574400000,2022-02-23 00:00:00,TRX/USDT,0.06264000,0.06388000,0.06070000,0.06081000,1644851328.20000000,103281966.79989800,154918
1645488000000,2022-02-22 00:00:00,TRX/USDT,0.05954000,0.06276000,0.05910000,0.06265000,2012415605.70000000,122548450.98235400,177447
1645401600000,2022-02-21 00:00:00,TRX/USDT,0.06199000,0.06369000,0.05928000,0.05954000,2174590565.60000000,135216563.69113800,185459
1645315200000,2022-02-20 00:00:00,TRX/USDT,0.06348000,0.06356000,0.06103000,0.06199000,1624256236.50000000,100717538.81194900,131630
1645228800000,2022-02-19 00:00:00,TRX/USDT,0.06306000,0.06439000,0.06288000,0.06348000,1243122522.00000000,79321509.80564500,123216
1645142400000,2022-02-18 00:00:00,TRX/USDT,0.06249000,0.06411000,0.06208000,0.06306000,1492712895.50000000,94301518.43306100,140857
1645056000000,2022-02-17 00:00:00,TRX/USDT,0.06641000,0.06712000,0.06206000,0.06249000,1482815072.20000000,96226993.80054200,160628
1644969600000,2022-02-16 00:00:00,TRX/USDT,0.06686000,0.06693000,0.06550000,0.06640000,1080430061.40000000,71625161.45208600,123656
1644883200000,2022-02-15 00:00:00,TRX/USDT,0.06441000,0.06700000,0.06437000,0.06685000,1352162335.20000000,89395432.18090300,143596
1644796800000,2022-02-14 00:00:00,TRX/USDT,0.06427000,0.06543000,0.06328000,0.06442000,1274185471.10000000,81758599.43739100,132140
1644710400000,2022-02-13 00:00:00,TRX/USDT,0.06352000,0.06503000,0.06316000,0.06427000,1383448320.20000000,88798306.55353800,107317
1644624000000,2022-02-12 00:00:00,TRX/USDT,0.06399000,0.06507000,0.06216000,0.06352000,1439122189.30000000,91799751.97634500,148460
1644537600000,2022-02-11 00:00:00,TRX/USDT,0.06850000,0.06850000,0.06337000,0.06399000,1666467885.80000000,110359837.31929100,191809
1644451200000,2022-02-10 00:00:00,TRX/USDT,0.06991000,0.07165000,0.06837000,0.06850000,1631532092.60000000,114262550.02463500,234140
1644364800000,2022-02-09 00:00:00,TRX/USDT,0.06808000,0.07004000,0.06735000,0.06991000,1299493837.80000000,89499960.20586800,155434
1644278400000,2022-02-08 00:00:00,TRX/USDT,0.06852000,0.07024000,0.06677000,0.06806000,1901816275.50000000,129952813.20225400,209208
1644192000000,2022-02-07 00:00:00,TRX/USDT,0.06616000,0.06933000,0.06523000,0.06852000,1614783612.60000000,108949996.65559500,197227
1644105600000,2022-02-06 00:00:00,TRX/USDT,0.06467000,0.06634000,0.06433000,0.06617000,986081488.80000000,64420718.03590200,125296
1644019200000,2022-02-05 00:00:00,TRX/USDT,0.06442000,0.06621000,0.06354000,0.06467000,1282234491.00000000,83259560.90810000,174191
1643932800000,2022-02-04 00:00:00,TRX/USDT,0.05981000,0.06458000,0.05961000,0.06441000,1518651621.70000000,94990073.27754000,210338
1643846400000,2022-02-03 00:00:00,TRX/USDT,0.05847000,0.05987000,0.05826000,0.05981000,1122173232.40000000,66196504.92442500,111787
1643760000000,2022-02-02 00:00:00,TRX/USDT,0.05979000,0.06154000,0.05843000,0.05847000,1391192801.40000000,83761599.12912700,146396
1643673600000,2022-02-01 00:00:00,TRX/USDT,0.05909000,0.06025000,0.05882000,0.05979000,1103088489.00000000,65716323.00759000,120347
1643587200000,2022-01-31 00:00:00,TRX/USDT,0.05862000,0.05938000,0.05665000,0.05906000,1089882869.60000000,63177256.70493700,130666
1643500800000,2022-01-30 00:00:00,TRX/USDT,0.06035000,0.06054000,0.05821000,0.05863000,1080261077.50000000,64527175.67746400,129712
1643414400000,2022-01-29 00:00:00,TRX/USDT,0.05757000,0.06039000,0.05711000,0.06034000,1117040029.20000000,65600598.85507600,130590
1643328000000,2022-01-28 00:00:00,TRX/USDT,0.05649000,0.05767000,0.05580000,0.05757000,1210381796.80000000,68614852.47427400,138598
1643241600000,2022-01-27 00:00:00,TRX/USDT,0.05619000,0.05716000,0.05442000,0.05649000,1392669179.50000000,77798105.37518200,163317
1643155200000,2022-01-26 00:00:00,TRX/USDT,0.05589000,0.05905000,0.05534000,0.05620000,1656601994.60000000,94351917.92697300,221468
1643068800000,2022-01-25 00:00:00,TRX/USDT,0.05504000,0.05616000,0.05429000,0.05588000,1740384902.00000000,96011838.31335100,186084
1642982400000,2022-01-24 00:00:00,TRX/USDT,0.05750000,0.05755000,0.05101000,0.05506000,2711696074.20000000,145700648.09069300,329182
1642896000000,2022-01-23 00:00:00,TRX/USDT,0.05679000,0.05854000,0.05535000,0.05752000,1739505171.40000000,99472712.07927000,220119
1642809600000,2022-01-22 00:00:00,TRX/USDT,0.06103000,0.06201000,0.05265000,0.05680000,3142285867.50000000,179801289.11317800,339456
1642723200000,2022-01-21 00:00:00,TRX/USDT,0.06771000,0.06863000,0.05971000,0.06103000,2597725957.60000000,169885970.49741100,288655
1642636800000,2022-01-20 00:00:00,TRX/USDT,0.06915000,0.07206000,0.06744000,0.06773000,1735106694.60000000,120843955.71861600,200965
1642550400000,2022-01-19 00:00:00,TRX/USDT,0.06846000,0.06964000,0.06612000,0.06915000,2280024794.20000000,155793806.87647000,180848
1642464000000,2022-01-18 00:00:00,TRX/USDT,0.07085000,0.07138000,0.06743000,0.06846000,1820431991.10000000,125053869.22563600,180631
1642377600000,2022-01-17 00:00:00,TRX/USDT,0.06988000,0.07244000,0.06889000,0.07085000,2264462911.80000000,159661127.22300100,237441
1642291200000,2022-01-16 00:00:00,TRX/USDT,0.06841000,0.07039000,0.06829000,0.06988000,1278605074.30000000,89023028.03821100,146613
1642204800000,2022-01-15 00:00:00,TRX/USDT,0.06765000,0.06934000,0.06700000,0.06842000,1014298584.70000000,69082536.28193200,129322
1642118400000,2022-01-14 00:00:00,TRX/USDT,0.06621000,0.06850000,0.06587000,0.06765000,1749245168.90000000,117497731.03649500,162310
1642032000000,2022-01-13 00:00:00,TRX/USDT,0.06807000,0.06856000,0.06593000,0.06620000,1830087974.30000000,123628548.34196400,160274
1641945600000,2022-01-12 00:00:00,TRX/USDT,0.06493000,0.06834000,0.06491000,0.06806000,1471410395.90000000,98329749.41509400,161895
1641859200000,2022-01-11 00:00:00,TRX/USDT,0.06343000,0.06566000,0.06290000,0.06493000,1584213482.20000000,101556345.53877000,156479
1641772800000,2022-01-10 00:00:00,TRX/USDT,0.06611000,0.06692000,0.06111000,0.06342000,1875401682.10000000,121379245.71913600,209426
1641686400000,2022-01-09 00:00:00,TRX/USDT,0.06539000,0.06724000,0.06490000,0.06611000,1342231000.40000000,88734862.33887700,134872
1641600000000,2022-01-08 00:00:00,TRX/USDT,0.06821000,0.06918000,0.06402000,0.06539000,1122002395.60000000,75492240.45753200,184939
1641513600000,2022-01-07 00:00:00,TRX/USDT,0.07107000,0.07119000,0.06652000,0.06820000,2353241534.00000000,161298470.15577600,239364
1641427200000,2022-01-06 00:00:00,TRX/USDT,0.07113000,0.07149000,0.06925000,0.07106000,3244970701.90000000,228643706.74418300,199231
