unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1653004800000,2022-05-20 00:00:00,ETC/USDT,20.89000000,21.21000000,19.73000000,20.16000000,614932.10000000,12619112.14180000,46399
1652918400000,2022-05-19 00:00:00,ETC/USDT,19.80000000,21.03000000,19.41000000,20.89000000,679154.06000000,13799149.50420000,53196
1652832000000,2022-05-18 00:00:00,ETC/USDT,21.77000000,21.97000000,19.75000000,19.80000000,649049.54000000,13390859.11480000,50039
1652745600000,2022-05-17 00:00:00,ETC/USDT,20.91000000,21.89000000,20.62000000,21.77000000,679140.69000000,14499170.83080000,51484
1652659200000,2022-05-16 00:00:00,ETC/USDT,22.15000000,22.84000000,20.33000000,20.88000000,1152352.51000000,24525890.97140000,87517
1652572800000,2022-05-15 00:00:00,ETC/USDT,21.08000000,22.19000000,20.41000000,22.16000000,625280.08000000,13230075.73780000,51863
1652486400000,2022-05-14 00:00:00,ETC/USDT,20.49000000,21.37000000,19.50000000,21.08000000,1036343.40000000,21266811.97560000,77423
1652400000000,2022-05-13 00:00:00,ETC/USDT,18.89000000,21.86000000,18.67000000,20.48000000,1527857.44000000,31848224.78440000,100822
1652313600000,2022-05-12 00:00:00,ETC/USDT,19.98000000,20.82000000,16.02000000,18.89000000,3654651.04000000,66609367.21155000,224542
1652227200000,2022-05-11 00:00:00,ETC/USDT,23.87000000,24.43000000,18.51000000,19.98000000,4813000.67800000,104635052.91235800,295025
1652140800000,2022-05-10 00:00:00,ETC/USDT,22.70000000,25.54000000,21.97000000,23.89000000,2360783.88000000,56579966.38060000,158578
1652054400000,2022-05-09 00:00:00,ETC/USDT,26.53000000,27.21000000,22.50000000,22.72000000,2505830.02000000,61814067.48780000,154331
1651968000000,2022-05-08 00:00:00,ETC/USDT,26.85000000,27.24000000,26.11000000,26.52000000,1169512.60000000,31126382.51500000,68096
1651881600000,2022-05-07 00:00:00,ETC/USDT,27.95000000,28.01000000,26.22000000,26.84000000,920141.57000000,25158198.54540000,55896
1651795200000,2022-05-06 00:00:00,ETC/USDT,28.31000000,28.66000000,27.00000000,27.95000000,1505749.52000000,41898117.92250000,100768
1651708800000,2022-05-05 00:00:00,ETC/USDT,30.64000000,33.04000000,27.36000000,28.31000000,3183408.83000000,95354756.42210000,201238
1651622400000,2022-05-04 00:00:00,ETC/USDT,26.84000000,30.78000000,26.80000000,30.64000000,1190370.20000000,34033163.39960000,77807
1651536000000,2022-05-03 00:00:00,ETC/USDT,27.42000000,28.03000000,26.48000000,26.83000000,546100.62000000,14896423.57760000,39509
1651449600000,2022-05-02 00:00:00,ETC/USDT,27.66000000,28.34000000,26.58000000,27.41000000,829118.57000000,22725144.46620000,53935
1651363200000,2022-05-01 00:00:00,ETC/USDT,25.88000000,28.04000000,25.78000000,27.66000000,1239811.06000000,33375670.65310000,76571
1651276800000,2022-04-30 00:00:00,ETC/USDT,29.18000000,29.61000000,24.50000000,25.89000000,1360223.04000000,37047262.23950000,86653
1651190400000,2022-04-29 00:00:00,ETC/USDT,31.12000000,31.44000000,28.63000000,29.19000000,938736.19000000,28120179.53930000,69493
1651104000000,2022-04-28 00:00:00,ETC/USDT,31.27000000,31.83000000,30.42000000,31.12000000,826777.58000000,25774334.52700000,65278
1651017600000,2022-04-27 00:00:00,ETC/USDT,30.68000000,31.68000000,30.23000000,31.27000000,670410.15000000,20796784.47200000,53359
1650931200000,2022-04-26 00:00:00,ETC/USDT,33.65000000,33.92000000,29.84000000,30.69000000,1110140.18000000,35576272.40520000,85347
1650844800000,2022-04-25 00:00:00,ETC/USDT,33.63000000,34.12000000,31.38000000,33.64000000,1690652.91000000,55087030.43760000,118093
1650758400000,2022-04-24 00:00:00,ETC/USDT,34.55000000,34.90000000,33.39000000,33.63000000,1006559.83000000,34473820.14820000,69364
1650672000000,2022-04-23 00:00:00,ETC/USDT,35.53000000,35.71000000,34.39000000,34.54000000,504823.08000000,17676993.13880000,43219
1650585600000,2022-04-22 00:00:00,ETC/USDT,34.89000000,35.89000000,34.53000000,35.53000000,1104977.33000000,38907741.44120000,74582
1650499200000,2022-04-21 00:00:00,ETC/USDT,36.56000000,37.81000000,34.02000000,34.89000000,1553460.29000000,56669290.34450000,105538
1650412800000,2022-04-20 00:00:00,ETC/USDT,37.80000000,38.15000000,35.94000000,36.54000000,1331949.59000000,49473313.43090000,82876
1650326400000,2022-04-19 00:00:00,ETC/USDT,36.90000000,37.96000000,36.19000000,37.80000000,1151655.13000000,42694887.57200000,80165
1650240000000,2022-04-18 00:00:00,ETC/USDT,36.59000000,37.07000000,34.50000000,36.90000000,1544145.56000000,54985517.74100000,110373
1650153600000,2022-04-17 00:00:00,ETC/USDT,38.14000000,38.47000000,36.44000000,36.60000000,960783.80000000,36105316.56580000,67918
1650067200000,2022-04-16 00:00:00,ETC/USDT,37.35000000,38.76000000,37.01000000,38.14000000,1168084.28000000,44493104.51320000,80013
1649980800000,2022-04-15 00:00:00,ETC/USDT,37.04000000,37.63000000,36.57000000,37.35000000,767750.39000000,28517571.80830000,58107
1649894400000,2022-04-14 00:00:00,ETC/USDT,38.59000000,39.18000000,36.38000000,37.05000000,1273365.34000000,47967005.18950000,79150
1649808000000,2022-04-13 00:00:00,ETC/USDT,38.12000000,38.84000000,36.72000000,38.59000000,1551101.84000000,58823196.21220000,101015
1649721600000,2022-04-12 00:00:00,ETC/USDT,37.00000000,39.09000000,36.46000000,38.12000000,2365781.39000000,89271912.76850000,160380
1649635200000,2022-04-11 00:00:00,ETC/USDT,40.32000000,40.54000000,35.74000000,37.00000000,2968272.03000000,114076163.19670000,208039
1649548800000,2022-04-10 00:00:00,ETC/USDT,41.96000000,42.62000000,40.14000000,40.32000000,1419608.68000000,59112544.11720000,117320
1649462400000,2022-04-09 00:00:00,ETC/USDT,40.48000000,43.04000000,40.38000000,41.96000000,1928676.57000000,80656836.11470000,167494
1649376000000,2022-04-08 00:00:00,ETC/USDT,43.45000000,44.06000000,39.77000000,40.49000000,2882002.69000000,120948047.13260000,217023
1649289600000,2022-04-07 00:00:00,ETC/USDT,38.43000000,44.70000000,37.90000000,43.45000000,4597512.51000000,191631128.59860000,369684
1649203200000,2022-04-06 00:00:00,ETC/USDT,44.39000000,44.58000000,38.19000000,38.43000000,3944768.94000000,162343098.37340000,285223
1649116800000,2022-04-05 00:00:00,ETC/USDT,46.74000000,46.97000000,44.18000000,44.39000000,2005669.90000000,92021166.20610000,109905
1649030400000,2022-04-04 00:00:00,ETC/USDT,46.71000000,48.64000000,44.55000000,46.74000000,3908098.94000000,183050799.67810000,234855
1648944000000,2022-04-03 00:00:00,ETC/USDT,45.49000000,47.96000000,44.43000000,46.71000000,2926363.71000000,136435753.81830000,220452
1648857600000,2022-04-02 00:00:00,ETC/USDT,47.17000000,48.34000000,45.11000000,45.49000000,2538332.21000000,118281388.93030000,151918
1648771200000,2022-04-01 00:00:00,ETC/USDT,47.45000000,48.16000000,42.80000000,47.18000000,4169925.46000000,190454684.78880000,266273
1648684800000,2022-03-31 00:00:00,ETC/USDT,49.66000000,50.95000000,45.88000000,47.45000000,4829625.85000000,232970704.33790000,296328
1648598400000,2022-03-30 00:00:00,ETC/USDT,49.28000000,51.78000000,48.30000000,49.66000000,5080127.75000000,254465731.92280000,358339
1648512000000,2022-03-29 00:00:00,ETC/USDT,47.07000000,52.66000000,46.98000000,49.28000000,7631601.01000000,378460085.33280000,493291
