unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1648771200000,2022-04-01 00:00:00,BNB/USDT,428.90000000,448.20000000,412.80000000,447.70000000,971822.65500000,420007037.56090000,502046
1648684800000,2022-03-31 00:00:00,BNB/USDT,442.10000000,452.30000000,423.90000000,428.90000000,957924.69500000,420218726.67810000,511531
1648598400000,2022-03-30 00:00:00,BNB/USDT,434.20000000,449.30000000,425.50000000,442.10000000,768982.42700000,337640530.58110000,435588
1648512000000,2022-03-29 00:00:00,BNB/USDT,430.20000000,441.60000000,429.40000000,434.20000000,629773.89400000,274292494.98750000,372204
1648425600000,2022-03-28 00:00:00,BNB/USDT,430.60000000,441.00000000,427.60000000,430.20000000,719102.18300000,312557900.75170000,410910
1648339200000,2022-03-27 00:00:00,BNB/USDT,415.90000000,431.60000000,411.70000000,430.50000000,490998.10000000,206354927.63840000,302985
1648252800000,2022-03-26 00:00:00,BNB/USDT,410.30000000,416.40000000,407.50000000,415.80000000,280157.68700000,115642732.49250000,197760
1648166400000,2022-03-25 00:00:00,BNB/USDT,414.20000000,421.50000000,405.50000000,410.30000000,609691.87600000,252564500.67100000,324808
1648080000000,2022-03-24 00:00:00,BNB/USDT,408.40000000,416.60000000,405.00000000,414.20000000,598366.11500000,246062725.21760000,312271
1647993600000,2022-03-23 00:00:00,BNB/USDT,404.30000000,411.70000000,397.90000000,408.40000000,535891.79000000,216596978.30390000,283766
1647907200000,2022-03-22 00:00:00,BNB/USDT,396.00000000,410.00000000,394.80000000,404.30000000,609034.60700000,246686059.47370000,315030
1647820800000,2022-03-21 00:00:00,BNB/USDT,390.80000000,399.50000000,384.80000000,396.00000000,541479.78000000,213220417.43390000,282212
1647734400000,2022-03-20 00:00:00,BNB/USDT,399.90000000,400.80000000,386.20000000,390.80000000,398984.42900000,156927918.92100000,265148
1647648000000,2022-03-19 00:00:00,BNB/USDT,397.20000000,406.40000000,394.90000000,399.90000000,459996.61300000,184226934.27620000,285223
1647561600000,2022-03-18 00:00:00,BNB/USDT,391.90000000,400.00000000,384.00000000,397.20000000,553763.58600000,216435335.25840000,309939
1647475200000,2022-03-17 00:00:00,BNB/USDT,385.30000000,393.50000000,381.70000000,391.80000000,569457.40800000,220668680.00610000,292447
1647388800000,2022-03-16 00:00:00,BNB/USDT,371.70000000,386.60000000,367.80000000,385.40000000,668878.61500000,252390066.89710000,348707
1647302400000,2022-03-15 00:00:00,BNB/USDT,373.40000000,374.70000000,361.70000000,371.70000000,440890.82300000,162504505.49550000,232435
1647216000000,2022-03-14 00:00:00,BNB/USDT,361.40000000,373.90000000,359.50000000,373.40000000,467814.98400000,171918309.38040000,250927
1647129600000,2022-03-13 00:00:00,BNB/USDT,372.40000000,377.20000000,360.10000000,361.40000000,424762.64200000,157468699.64730000,252852
