unix,date,symbol,open,high,low,close,Volume TUSD,Volume USDT,tradecount
1653868800000,2022-05-30 00:00:00,TUSD/USDT,1.00110000,1.00120000,1.00070000,1.00070000,24068158.00000000,24089321.99270000,34964
1653782400000,2022-05-29 00:00:00,TUSD/USDT,1.00110000,1.00120000,1.00100000,1.00110000,15102243.00000000,15118582.31660000,23476
1653696000000,2022-05-28 00:00:00,TUSD/USDT,1.00120000,1.00130000,1.00100000,1.00110000,9670661.00000000,9681423.11650000,15023
1653609600000,2022-05-27 00:00:00,TUSD/USDT,1.00110000,1.00130000,1.00100000,1.00130000,25948044.00000000,25977821.24940000,37667
1653523200000,2022-05-26 00:00:00,TUSD/USDT,1.00110000,1.00130000,1.00090000,1.00110000,33621796.00000000,33659306.05640000,46135
1653436800000,2022-05-25 00:00:00,TUSD/USDT,1.00110000,1.00130000,1.00100000,1.00110000,13871241.00000000,13887065.64390000,18292
1653350400000,2022-05-24 00:00:00,TUSD/USDT,1.00110000,1.00130000,1.00100000,1.00110000,17553717.00000000,17573365.25180000,23258
1653264000000,2022-05-23 00:00:00,TUSD/USDT,1.00100000,1.00120000,1.00090000,1.00110000,24399000.00000000,24424601.26500000,32655
1653177600000,2022-05-22 00:00:00,TUSD/USDT,1.00130000,1.00160000,1.00100000,1.00100000,14664077.00000000,14682613.45860000,19084
1653091200000,2022-05-21 00:00:00,TUSD/USDT,1.00120000,1.00140000,1.00120000,1.00130000,12131827.00000000,12147828.95850000,17225
1653004800000,2022-05-20 00:00:00,TUSD/USDT,1.00110000,1.00130000,1.00070000,1.00120000,23076360.00000000,23100226.16760000,28455
1652918400000,2022-05-19 00:00:00,TUSD/USDT,1.00140000,1.00150000,1.00100000,1.00110000,22046629.00000000,22072703.68910000,24931
1652832000000,2022-05-18 00:00:00,TUSD/USDT,1.00110000,1.00150000,1.00110000,1.00140000,27322094.00000000,27357058.86330000,38988
1652745600000,2022-05-17 00:00:00,TUSD/USDT,1.00130000,1.00150000,1.00100000,1.00110000,26870776.00000000,26905566.85630000,37983
1652659200000,2022-05-16 00:00:00,TUSD/USDT,1.00120000,1.00160000,1.00100000,1.00130000,24845687.00000000,24876880.08660000,39594
1652572800000,2022-05-15 00:00:00,TUSD/USDT,1.00150000,1.00170000,1.00110000,1.00120000,22430840.00000000,22461614.54460000,36478
1652486400000,2022-05-14 00:00:00,TUSD/USDT,1.00180000,1.00250000,1.00130000,1.00150000,23896571.00000000,23939558.55630000,37517
1652400000000,2022-05-13 00:00:00,TUSD/USDT,1.00300000,1.00380000,1.00090000,1.00180000,31158694.00000000,31213052.65890000,48743
1652313600000,2022-05-12 00:00:00,TUSD/USDT,1.00490000,1.08800000,0.99850000,1.00300000,82037919.71000000,83031417.12603000,48019
1652227200000,2022-05-11 00:00:00,TUSD/USDT,1.00040000,1.00520000,1.00020000,1.00490000,188382850.88000000,188799137.65951900,141482
1652140800000,2022-05-10 00:00:00,TUSD/USDT,1.00030000,1.00050000,1.00000000,1.00040000,83920776.00000000,83943207.77040000,136353
1652054400000,2022-05-09 00:00:00,TUSD/USDT,1.00040000,1.00050000,1.00010000,1.00030000,33793125.00000000,33801964.21810000,46594
1651968000000,2022-05-08 00:00:00,TUSD/USDT,1.00030000,1.00050000,1.00020000,1.00040000,30027220.00000000,30037798.91650000,35579
1651881600000,2022-05-07 00:00:00,TUSD/USDT,1.00030000,1.00050000,1.00020000,1.00030000,21007132.00000000,21013690.37340000,31703
1651795200000,2022-05-06 00:00:00,TUSD/USDT,1.00020000,1.00040000,1.00010000,1.00030000,24110555.00000000,24116579.49340000,29680
1651708800000,2022-05-05 00:00:00,TUSD/USDT,1.00020000,1.00030000,1.00000000,1.00020000,41090999.00000000,41098221.28820000,54893
1651622400000,2022-05-04 00:00:00,TUSD/USDT,1.00020000,1.00030000,1.00010000,1.00020000,29480092.00000000,29485673.59630000,37938
1651536000000,2022-05-03 00:00:00,TUSD/USDT,1.00010000,1.00020000,0.99990000,1.00020000,32402009.00000000,32404110.68380000,22408
1651449600000,2022-05-02 00:00:00,TUSD/USDT,1.00000000,1.00020000,0.99990000,1.00010000,14814847.00000000,14815083.07370000,19589
1651363200000,2022-05-01 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,1.00000000,12431717.00000000,12430500.22210000,18462
1651276800000,2022-04-30 00:00:00,TUSD/USDT,1.00010000,1.00020000,0.99990000,0.99990000,13723236.00000000,13723279.16160000,21554
1651190400000,2022-04-29 00:00:00,TUSD/USDT,1.00000000,1.00020000,0.99990000,1.00010000,31788573.00000000,31790464.85080000,42306
1651104000000,2022-04-28 00:00:00,TUSD/USDT,0.99990000,1.00010000,0.99980000,1.00000000,20996575.00000000,20996014.38090000,27807
1651017600000,2022-04-27 00:00:00,TUSD/USDT,1.00000000,1.00010000,0.99990000,1.00000000,14033915.00000000,14033874.44730000,19908
1650931200000,2022-04-26 00:00:00,TUSD/USDT,0.99990000,1.00020000,0.99990000,1.00000000,20567151.00000000,20567069.99560000,27407
1650844800000,2022-04-25 00:00:00,TUSD/USDT,0.99980000,1.00010000,0.99970000,0.99990000,34879774.00000000,34875893.96590000,38857
1650758400000,2022-04-24 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99970000,0.99980000,9795876.00000000,9793942.17470000,14202
1650672000000,2022-04-23 00:00:00,TUSD/USDT,1.00000000,1.00000000,0.99980000,0.99980000,7864627.00000000,7863677.35240000,10349
1650585600000,2022-04-22 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,1.00000000,17242148.00000000,17240291.31720000,18064
1650499200000,2022-04-21 00:00:00,TUSD/USDT,0.99980000,1.00000000,0.99970000,0.99990000,34289357.00000000,34283172.05400000,37913
1650412800000,2022-04-20 00:00:00,TUSD/USDT,0.99990000,0.99990000,0.99970000,0.99980000,15052169.00000000,15049107.65220000,16070
1650326400000,2022-04-19 00:00:00,TUSD/USDT,0.99990000,0.99990000,0.99970000,0.99980000,15118169.00000000,15115424.27240000,15691
1650240000000,2022-04-18 00:00:00,TUSD/USDT,0.99970000,0.99990000,0.99970000,0.99990000,11068819.00000000,11066524.52490000,14428
