unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,NEO/USDT,10.36000000,10.95000000,10.23000000,10.87000000,327586.64000000,3484803.76810000,15297
1653091200000,2022-05-21 00:00:00,NEO/USDT,10.13000000,10.62000000,9.96000000,10.37000000,309483.99000000,3177015.85940000,13777
1653004800000,2022-05-20 00:00:00,NEO/USDT,10.51000000,10.80000000,9.88000000,10.13000000,466263.56000000,4828931.77720000,21032
1652918400000,2022-05-19 00:00:00,NEO/USDT,9.89000000,10.66000000,9.55000000,10.51000000,664270.85000000,6723957.98660000,26673
1652832000000,2022-05-18 00:00:00,NEO/USDT,10.98000000,11.19000000,9.84000000,9.89000000,659669.30000000,6845080.69500000,27401
1652745600000,2022-05-17 00:00:00,NEO/USDT,10.27000000,11.20000000,10.26000000,10.99000000,612469.45000000,6565732.87060000,30363
1652659200000,2022-05-16 00:00:00,NEO/USDT,11.02000000,11.02000000,9.89000000,10.26000000,565464.48000000,5852279.77000000,29011
1652572800000,2022-05-15 00:00:00,NEO/USDT,10.67000000,11.04000000,10.23000000,11.03000000,459582.74000000,4877144.30880000,25170
1652486400000,2022-05-14 00:00:00,NEO/USDT,10.23000000,10.77000000,9.61000000,10.68000000,625335.68000000,6378265.60140000,29153
1652400000000,2022-05-13 00:00:00,NEO/USDT,9.80000000,11.29000000,9.66000000,10.23000000,1038096.06000000,11103554.56200000,51746
1652313600000,2022-05-12 00:00:00,NEO/USDT,10.56000000,11.12000000,8.44000000,9.80000000,2937187.93100000,28099703.89584900,133351
1652227200000,2022-05-11 00:00:00,NEO/USDT,13.82000000,14.10000000,9.96000000,10.56000000,2282912.48400000,27263695.29461200,121702
1652140800000,2022-05-10 00:00:00,NEO/USDT,13.29000000,15.02000000,12.91000000,13.82000000,971716.17700000,13685015.63320000,73052
1652054400000,2022-05-09 00:00:00,NEO/USDT,15.93000000,16.35000000,13.22000000,13.30000000,917358.90100000,13348230.98891200,67977
1651968000000,2022-05-08 00:00:00,NEO/USDT,16.29000000,19.99000000,15.69000000,15.92000000,447320.73000000,7212719.89053200,32217
1651881600000,2022-05-07 00:00:00,NEO/USDT,16.92000000,17.04000000,15.92000000,16.29000000,270603.63700000,4493007.89030000,22970
1651795200000,2022-05-06 00:00:00,NEO/USDT,17.19000000,17.27000000,16.51000000,16.92000000,407358.59000000,6882543.88540000,29412
1651708800000,2022-05-05 00:00:00,NEO/USDT,19.36000000,19.58000000,16.77000000,17.19000000,587097.47000000,10574913.06460000,42953
1651622400000,2022-05-04 00:00:00,NEO/USDT,17.59000000,19.57000000,17.51000000,19.37000000,492868.14000000,9189054.44430000,39552
1651536000000,2022-05-03 00:00:00,NEO/USDT,17.59000000,18.37000000,17.15000000,17.58000000,297952.34000000,5303166.48770000,22938
1651449600000,2022-05-02 00:00:00,NEO/USDT,17.66000000,18.05000000,16.92000000,17.58000000,309571.11000000,5424958.01860000,24072
1651363200000,2022-05-01 00:00:00,NEO/USDT,16.73000000,17.81000000,16.42000000,17.66000000,365986.57000000,6284664.93940000,27802
1651276800000,2022-04-30 00:00:00,NEO/USDT,17.96000000,18.59000000,16.52000000,16.75000000,474204.74000000,8395003.54950000,36724
1651190400000,2022-04-29 00:00:00,NEO/USDT,18.83000000,19.05000000,17.64000000,17.94000000,339274.23000000,6209465.20220000,24348
1651104000000,2022-04-28 00:00:00,NEO/USDT,19.03000000,19.35000000,18.65000000,18.83000000,254411.52000000,4831874.89870000,23120
1651017600000,2022-04-27 00:00:00,NEO/USDT,18.57000000,19.20000000,18.40000000,19.03000000,244938.03000000,4620578.34800000,20692
1650931200000,2022-04-26 00:00:00,NEO/USDT,20.03000000,20.45000000,18.25000000,18.59000000,394422.01000000,7668977.83020000,32612
1650844800000,2022-04-25 00:00:00,NEO/USDT,20.19000000,20.26000000,18.71000000,20.03000000,401755.81000000,7820591.44000000,32845
1650758400000,2022-04-24 00:00:00,NEO/USDT,20.93000000,21.08000000,20.17000000,20.20000000,173333.13000000,3560696.22480000,14300
1650672000000,2022-04-23 00:00:00,NEO/USDT,21.10000000,21.43000000,20.67000000,20.92000000,172586.57000000,3635723.29940000,16822
1650585600000,2022-04-22 00:00:00,NEO/USDT,20.82000000,21.37000000,20.72000000,21.10000000,317965.50000000,6705600.74640000,26375
1650499200000,2022-04-21 00:00:00,NEO/USDT,21.49000000,22.62000000,20.44000000,20.82000000,425518.79000000,9210675.92420000,40612
1650412800000,2022-04-20 00:00:00,NEO/USDT,22.10000000,22.19000000,21.17000000,21.51000000,316121.64000000,6876047.02650000,28618
1650326400000,2022-04-19 00:00:00,NEO/USDT,21.30000000,22.14000000,21.07000000,22.10000000,225480.80000000,4869124.76480000,21582
1650240000000,2022-04-18 00:00:00,NEO/USDT,20.50000000,21.43000000,19.78000000,21.30000000,414562.58000000,8481995.97380000,32749
1650153600000,2022-04-17 00:00:00,NEO/USDT,21.57000000,22.05000000,20.39000000,20.50000000,291105.24000000,6229714.51120000,24886
1650067200000,2022-04-16 00:00:00,NEO/USDT,21.09000000,21.80000000,20.97000000,21.57000000,298966.50000000,6417492.53030000,23247
1649980800000,2022-04-15 00:00:00,NEO/USDT,20.60000000,21.34000000,20.48000000,21.09000000,231393.79000000,4864168.35550000,19356
1649894400000,2022-04-14 00:00:00,NEO/USDT,21.28000000,21.53000000,20.23000000,20.60000000,294443.43000000,6129201.32340000,22403
1649808000000,2022-04-13 00:00:00,NEO/USDT,20.39000000,21.35000000,20.13000000,21.26000000,336049.44000000,6966252.62620000,28398
1649721600000,2022-04-12 00:00:00,NEO/USDT,19.70000000,20.74000000,19.55000000,20.39000000,347208.39000000,7002284.99010000,28338
1649635200000,2022-04-11 00:00:00,NEO/USDT,21.58000000,21.78000000,19.26000000,19.69000000,610602.92000000,12421666.21400000,44627
1649548800000,2022-04-10 00:00:00,NEO/USDT,22.54000000,22.84000000,21.54000000,21.58000000,207782.91000000,4628771.06930000,19235
1649462400000,2022-04-09 00:00:00,NEO/USDT,21.83000000,22.58000000,21.82000000,22.54000000,211439.00000000,4694687.31210000,19531
1649376000000,2022-04-08 00:00:00,NEO/USDT,23.24000000,23.52000000,21.61000000,21.85000000,391530.08000000,8872508.65350000,38215
