unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1648598400000,2022-03-30 00:00:00,XRP/USDT,0.85760000,0.87180000,0.84550000,0.86130000,201046259.00000000,173039224.50480000,224285
1648512000000,2022-03-29 00:00:00,XRP/USDT,0.86400000,0.88570000,0.83890000,0.85770000,264756291.00000000,230020279.93140000,293027
1648425600000,2022-03-28 00:00:00,XRP/USDT,0.85790000,0.93000000,0.85280000,0.86410000,479199201.00000000,422637754.21670000,540963
1648339200000,2022-03-27 00:00:00,XRP/USDT,0.83260000,0.85820000,0.82750000,0.85800000,198619688.00000000,167118139.62120000,199174
1648252800000,2022-03-26 00:00:00,XRP/USDT,0.82390000,0.83490000,0.82060000,0.83270000,122433652.00000000,101517227.94210000,108590
1648166400000,2022-03-25 00:00:00,XRP/USDT,0.84280000,0.84590000,0.81850000,0.82390000,214450998.00000000,178986690.64110000,194835
1648080000000,2022-03-24 00:00:00,XRP/USDT,0.83760000,0.85000000,0.82720000,0.84280000,282122073.00000000,236615079.78980000,280263
1647993600000,2022-03-23 00:00:00,XRP/USDT,0.83660000,0.84600000,0.81710000,0.83760000,235024475.00000000,195140355.59460000,230168
1647907200000,2022-03-22 00:00:00,XRP/USDT,0.83720000,0.86530000,0.82730000,0.83660000,305184306.00000000,257893273.73830000,340957
1647820800000,2022-03-21 00:00:00,XRP/USDT,0.80570000,0.85490000,0.78750000,0.83730000,316427663.00000000,259592940.38880000,362667
1647734400000,2022-03-20 00:00:00,XRP/USDT,0.81950000,0.82200000,0.79500000,0.80570000,185090508.00000000,149611235.74750000,177909
1647648000000,2022-03-19 00:00:00,XRP/USDT,0.79640000,0.82680000,0.79150000,0.81940000,248947590.00000000,202388188.42080000,265739
1647561600000,2022-03-18 00:00:00,XRP/USDT,0.79360000,0.80070000,0.77620000,0.79650000,222661984.00000000,175564924.19900000,202346
1647475200000,2022-03-17 00:00:00,XRP/USDT,0.79190000,0.80200000,0.78300000,0.79350000,264101320.00000000,209115111.73250000,239087
1647388800000,2022-03-16 00:00:00,XRP/USDT,0.76580000,0.79450000,0.75690000,0.79190000,350641035.00000000,270905161.10040000,338101
1647302400000,2022-03-15 00:00:00,XRP/USDT,0.77470000,0.77680000,0.74130000,0.76570000,243756136.00000000,185554830.19510000,224551
1647216000000,2022-03-14 00:00:00,XRP/USDT,0.76020000,0.77790000,0.74500000,0.77480000,326606464.00000000,249607534.83290000,277062
1647129600000,2022-03-13 00:00:00,XRP/USDT,0.78570000,0.80570000,0.75080000,0.76020000,311279578.00000000,244669480.07420000,304239
1647043200000,2022-03-12 00:00:00,XRP/USDT,0.80280000,0.84900000,0.77830000,0.78570000,589059126.00000000,474559889.92240000,662771
1646956800000,2022-03-11 00:00:00,XRP/USDT,0.73610000,0.81400000,0.72500000,0.80290000,526984782.00000000,402055677.02880000,515649
1646870400000,2022-03-10 00:00:00,XRP/USDT,0.76590000,0.77970000,0.72150000,0.73610000,397777399.00000000,294877895.44850000,350394
1646784000000,2022-03-09 00:00:00,XRP/USDT,0.72080000,0.77500000,0.71990000,0.76580000,397032109.00000000,298577935.72990000,342087
1646697600000,2022-03-08 00:00:00,XRP/USDT,0.71960000,0.73130000,0.71350000,0.72070000,293421937.00000000,212053680.96980000,231478
1646611200000,2022-03-07 00:00:00,XRP/USDT,0.72520000,0.75440000,0.70330000,0.71970000,496135240.00000000,362851309.72500000,413040
1646524800000,2022-03-06 00:00:00,XRP/USDT,0.75390000,0.75890000,0.72110000,0.72510000,304732286.00000000,225032012.60740000,275079
1646438400000,2022-03-05 00:00:00,XRP/USDT,0.71270000,0.76930000,0.70490000,0.75400000,358200609.00000000,265951379.14690000,360890
1646352000000,2022-03-04 00:00:00,XRP/USDT,0.75140000,0.75500000,0.69420000,0.71270000,382831997.00000000,279450790.84820000,325418
1646265600000,2022-03-03 00:00:00,XRP/USDT,0.76880000,0.78970000,0.73360000,0.75150000,339295156.00000000,257664904.54850000,298359
1646179200000,2022-03-02 00:00:00,XRP/USDT,0.78400000,0.78480000,0.75620000,0.76870000,377602100.00000000,290891663.05990000,306050
1646092800000,2022-03-01 00:00:00,XRP/USDT,0.78090000,0.80390000,0.75740000,0.78390000,392126769.00000000,305309246.79250000,396934
1646006400000,2022-02-28 00:00:00,XRP/USDT,0.72160000,0.79380000,0.70750000,0.78090000,444617964.00000000,331004684.91040000,411864
1645920000000,2022-02-27 00:00:00,XRP/USDT,0.75080000,0.76770000,0.70320000,0.72150000,441252224.00000000,324122751.32690000,380063
1645833600000,2022-02-26 00:00:00,XRP/USDT,0.76980000,0.79550000,0.74030000,0.75080000,520451349.00000000,398290215.79720000,518766
1645747200000,2022-02-25 00:00:00,XRP/USDT,0.69620000,0.78070000,0.68260000,0.76990000,557343038.00000000,397739663.43220000,483216
1645660800000,2022-02-24 00:00:00,XRP/USDT,0.69670000,0.72260000,0.62150000,0.69630000,986343826.00000000,649336702.19890000,776546
1645574400000,2022-02-23 00:00:00,XRP/USDT,0.72090000,0.74410000,0.69240000,0.69670000,438023003.00000000,315158238.64330000,352974
1645488000000,2022-02-22 00:00:00,XRP/USDT,0.70180000,0.72660000,0.66860000,0.72090000,597541290.00000000,417027236.62890000,503146
1645401600000,2022-02-21 00:00:00,XRP/USDT,0.77690000,0.80200000,0.69530000,0.70180000,621650777.00000000,474629850.51650000,558755
1645315200000,2022-02-20 00:00:00,XRP/USDT,0.82150000,0.82340000,0.76430000,0.77690000,495454770.00000000,391269443.43180000,521656
1645228800000,2022-02-19 00:00:00,XRP/USDT,0.78410000,0.85470000,0.76960000,0.82150000,492929500.00000000,400613754.21860000,594162
1645142400000,2022-02-18 00:00:00,XRP/USDT,0.76890000,0.80550000,0.75600000,0.78400000,417945743.00000000,326120877.67890000,423084
1645056000000,2022-02-17 00:00:00,XRP/USDT,0.83670000,0.84480000,0.75350000,0.76900000,375190546.00000000,300624314.14740000,377795
1644969600000,2022-02-16 00:00:00,XRP/USDT,0.85140000,0.85320000,0.80860000,0.83660000,252745706.00000000,210175363.60460000,272890
1644883200000,2022-02-15 00:00:00,XRP/USDT,0.80120000,0.85990000,0.79610000,0.85150000,279317316.00000000,231323680.23610000,292838
1644796800000,2022-02-14 00:00:00,XRP/USDT,0.80570000,0.81270000,0.77910000,0.80120000,304006647.00000000,241701354.45640000,298362
1644710400000,2022-02-13 00:00:00,XRP/USDT,0.82230000,0.84760000,0.79200000,0.80570000,351589704.00000000,288439676.85390000,411195
