unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT,tradecount
1647907200000,2022-03-22 00:00:00,ALGO/USDT,0.82770000,0.85200000,0.80310000,0.82670000,54702957.00000000,45211576.12750000,152315
1647820800000,2022-03-21 00:00:00,ALGO/USDT,0.74130000,0.82910000,0.73000000,0.82760000,68222926.00000000,54172170.98570000,167263
1647734400000,2022-03-20 00:00:00,ALGO/USDT,0.76480000,0.77700000,0.73390000,0.74140000,25659158.00000000,19333298.17460000,60533
1647648000000,2022-03-19 00:00:00,ALGO/USDT,0.75490000,0.78050000,0.75170000,0.76490000,33709486.00000000,25851890.59880000,82817
1647561600000,2022-03-18 00:00:00,ALGO/USDT,0.74190000,0.76550000,0.72550000,0.75480000,37467392.00000000,27909778.66920000,85172
1647475200000,2022-03-17 00:00:00,ALGO/USDT,0.73650000,0.76100000,0.72120000,0.74180000,31904706.00000000,23581241.64020000,77868
1647388800000,2022-03-16 00:00:00,ALGO/USDT,0.71580000,0.73870000,0.69610000,0.73650000,33929244.00000000,24300778.69080000,80930
1647302400000,2022-03-15 00:00:00,ALGO/USDT,0.70630000,0.72770000,0.67790000,0.71590000,28980871.00000000,20345390.63960000,67948
1647216000000,2022-03-14 00:00:00,ALGO/USDT,0.68080000,0.71480000,0.67360000,0.70630000,23839247.00000000,16542756.13380000,54732
1647129600000,2022-03-13 00:00:00,ALGO/USDT,0.70500000,0.71680000,0.67500000,0.68070000,12186092.00000000,8523722.26360600,33317
1647043200000,2022-03-12 00:00:00,ALGO/USDT,0.70160000,0.72480000,0.70080000,0.70520000,10779753.00000000,7678528.07340000,28934
1646956800000,2022-03-11 00:00:00,ALGO/USDT,0.73120000,0.73230000,0.69920000,0.70140000,21686428.00000000,15482351.04640000,57170
1646870400000,2022-03-10 00:00:00,ALGO/USDT,0.76710000,0.78120000,0.72240000,0.73090000,22781044.00000000,16824014.29830000,65952
1646784000000,2022-03-09 00:00:00,ALGO/USDT,0.74000000,0.78080000,0.73900000,0.76710000,22912638.00000000,17516410.60430000,63567
1646697600000,2022-03-08 00:00:00,ALGO/USDT,0.72790000,0.75940000,0.72490000,0.73990000,21111966.00000000,15641809.70060000,57769
1646611200000,2022-03-07 00:00:00,ALGO/USDT,0.74650000,0.77270000,0.71990000,0.72790000,33693925.00000000,25017737.87570000,74885
1646524800000,2022-03-06 00:00:00,ALGO/USDT,0.77360000,0.78210000,0.74290000,0.74650000,27657944.00000000,21115939.60130000,65987
1646438400000,2022-03-05 00:00:00,ALGO/USDT,0.76000000,0.77730000,0.74180000,0.77350000,27981858.00000000,21298921.12730000,62865
1646352000000,2022-03-04 00:00:00,ALGO/USDT,0.79650000,0.81030000,0.75200000,0.75990000,41991984.00000000,32839965.89700000,100278
1646265600000,2022-03-03 00:00:00,ALGO/USDT,0.81980000,0.85160000,0.78690000,0.79660000,56349768.00000000,46266614.10710000,128597
1646179200000,2022-03-02 00:00:00,ALGO/USDT,0.85640000,0.85960000,0.80720000,0.81990000,54416082.00000000,45115352.21850000,125579
1646092800000,2022-03-01 00:00:00,ALGO/USDT,0.86760000,0.89520000,0.83630000,0.85650000,56468544.00000000,48691701.25460000,144161
1646006400000,2022-02-28 00:00:00,ALGO/USDT,0.79790000,0.86930000,0.78460000,0.86810000,39295402.00000000,32678770.19520000,101897
1645920000000,2022-02-27 00:00:00,ALGO/USDT,0.85920000,0.86300000,0.78170000,0.79780000,30849584.00000000,25324207.72880000,90738
1645833600000,2022-02-26 00:00:00,ALGO/USDT,0.83020000,0.88190000,0.81840000,0.85920000,30901498.00000000,26174566.58430000,92099
1645747200000,2022-02-25 00:00:00,ALGO/USDT,0.77710000,0.84170000,0.76760000,0.83010000,32051676.00000000,25554490.58000000,91206
1645660800000,2022-02-24 00:00:00,ALGO/USDT,0.78520000,0.79630000,0.68800000,0.77720000,69785867.31000000,51494196.05971000,165844
1645574400000,2022-02-23 00:00:00,ALGO/USDT,0.81050000,0.88070000,0.78160000,0.78500000,35888139.00000000,29340362.16920000,88950
1645488000000,2022-02-22 00:00:00,ALGO/USDT,0.78460000,0.82000000,0.75810000,0.81070000,38065106.63000000,30078663.69429500,86386
1645401600000,2022-02-21 00:00:00,ALGO/USDT,0.84470000,0.87860000,0.77930000,0.78470000,35446895.00000000,29740432.43840000,98623
1645315200000,2022-02-20 00:00:00,ALGO/USDT,0.89920000,0.90060000,0.83190000,0.84510000,17645067.00000000,15079492.78680000,60741
1645228800000,2022-02-19 00:00:00,ALGO/USDT,0.89400000,0.91760000,0.87050000,0.89940000,14645272.00000000,13112981.67600000,54096
1645142400000,2022-02-18 00:00:00,ALGO/USDT,0.89790000,0.92710000,0.87330000,0.89410000,17325087.00000000,15590498.62760000,60687
1645056000000,2022-02-17 00:00:00,ALGO/USDT,0.97740000,0.98840000,0.88750000,0.89720000,27348283.00000000,25686951.81890000,100103
1644969600000,2022-02-16 00:00:00,ALGO/USDT,0.96960000,1.00790000,0.95280000,0.97790000,39766020.00000000,39000172.69710000,122686
1644883200000,2022-02-15 00:00:00,ALGO/USDT,0.89950000,0.97560000,0.89850000,0.96900000,24422127.00000000,22920159.33490000,72656
1644796800000,2022-02-14 00:00:00,ALGO/USDT,0.89650000,0.91000000,0.87140000,0.89920000,18574382.00000000,16550138.89280000,55499
1644710400000,2022-02-13 00:00:00,ALGO/USDT,0.91880000,0.93450000,0.88180000,0.89650000,17684695.00000000,16166257.94270000,49056
1644624000000,2022-02-12 00:00:00,ALGO/USDT,0.91610000,0.94020000,0.88830000,0.91870000,21044369.00000000,19304933.69170000,64770
1644537600000,2022-02-11 00:00:00,ALGO/USDT,0.98130000,0.99600000,0.89640000,0.91610000,32617526.00000000,31351703.09030000,102822
1644451200000,2022-02-10 00:00:00,ALGO/USDT,1.03660000,1.04950000,0.97360000,0.98130000,42407794.00000000,42900952.20380000,135687
1644364800000,2022-02-09 00:00:00,ALGO/USDT,1.02340000,1.05000000,0.99610000,1.03630000,32927033.00000000,33875599.05370000,95890
1644278400000,2022-02-08 00:00:00,ALGO/USDT,1.07090000,1.10200000,0.98700000,1.02350000,50377249.00000000,52171225.24530000,154694
1644192000000,2022-02-07 00:00:00,ALGO/USDT,1.02470000,1.09860000,0.99830000,1.07000000,57314859.00000000,60659592.40360000,180172
1644105600000,2022-02-06 00:00:00,ALGO/USDT,1.00170000,1.03100000,0.97090000,1.02470000,29169725.00000000,29280887.98340000,84412
1644019200000,2022-02-05 00:00:00,ALGO/USDT,0.99780000,1.04490000,0.98120000,1.00150000,31899615.00000000,32304288.19630000,101405
1643932800000,2022-02-04 00:00:00,ALGO/USDT,0.93530000,1.00000000,0.92630000,0.99730000,33856720.00000000,32393678.58590000,87476
1643846400000,2022-02-03 00:00:00,ALGO/USDT,0.92280000,0.94060000,0.90080000,0.93570000,31808657.00000000,29308924.88700000,83153
1643760000000,2022-02-02 00:00:00,ALGO/USDT,0.96630000,1.03000000,0.92130000,0.92270000,47633350.00000000,46914122.22960000,134797
1643673600000,2022-02-01 00:00:00,ALGO/USDT,0.94990000,0.99200000,0.94660000,0.96630000,26072464.00000000,25279734.15430000,77931
1643587200000,2022-01-31 00:00:00,ALGO/USDT,0.94480000,0.97080000,0.90290000,0.94990000,30053013.00000000,28220167.45490000,78575
1643500800000,2022-01-30 00:00:00,ALGO/USDT,0.96900000,0.98960000,0.92830000,0.94470000,24857482.00000000,23767604.22630000,73158
1643414400000,2022-01-29 00:00:00,ALGO/USDT,0.95840000,1.00750000,0.95460000,0.96900000,30400776.00000000,29769141.09020000,87027
1643328000000,2022-01-28 00:00:00,ALGO/USDT,0.93640000,0.98540000,0.92040000,0.95840000,41535435.00000000,39431879.46560000,121128
1643241600000,2022-01-27 00:00:00,ALGO/USDT,0.92270000,0.95650000,0.87520000,0.93610000,46329195.00000000,42312615.45530000,133550
1643155200000,2022-01-26 00:00:00,ALGO/USDT,0.92230000,0.99550000,0.89230000,0.92310000,53867719.00000000,51088302.28940000,162756
1643068800000,2022-01-25 00:00:00,ALGO/USDT,0.91250000,0.95000000,0.86700000,0.92240000,36769853.00000000,33137191.73910000,136368
1642982400000,2022-01-24 00:00:00,ALGO/USDT,0.98850000,0.98920000,0.81700000,0.91250000,53757972.00000000,47528305.52650000,168252
1642896000000,2022-01-23 00:00:00,ALGO/USDT,0.95060000,1.00550000,0.92420000,0.98900000,53267491.00000000,51431748.49260000,170198
1642809600000,2022-01-22 00:00:00,ALGO/USDT,1.03050000,1.06170000,0.79570000,0.95140000,125204441.12000000,114425535.39826900,318323
1642723200000,2022-01-21 00:00:00,ALGO/USDT,1.16100000,1.19680000,0.99900000,1.03070000,80371227.00000000,89290008.06990000,280635
1642636800000,2022-01-20 00:00:00,ALGO/USDT,1.26500000,1.32680000,1.15430000,1.16160000,35436319.00000000,44607275.14500000,151532
1642550400000,2022-01-19 00:00:00,ALGO/USDT,1.31710000,1.32240000,1.22110000,1.26550000,35192413.00000000,44914723.38850000,143338
