unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,tradecount
1648512000000,2022-03-29 00:00:00,UNI/USDT,10.91000000,11.72000000,10.88000000,11.25000000,2920712.49000000,32917786.26350000,96104
1648425600000,2022-03-28 00:00:00,UNI/USDT,11.41000000,11.58000000,10.76000000,10.90000000,3163768.27000000,35920341.21890000,87078
1648339200000,2022-03-27 00:00:00,UNI/USDT,10.63000000,11.44000000,10.46000000,11.41000000,2256090.51000000,24641811.92990000,77829
1648252800000,2022-03-26 00:00:00,UNI/USDT,10.58000000,10.75000000,10.36000000,10.63000000,1142328.95000000,12049121.66810000,30712
1648166400000,2022-03-25 00:00:00,UNI/USDT,10.79000000,11.15000000,10.42000000,10.57000000,2828893.98000000,30599914.96530000,82770
1648080000000,2022-03-24 00:00:00,UNI/USDT,10.01000000,10.80000000,9.96000000,10.79000000,3091213.21000000,32027018.45460000,84233
1647993600000,2022-03-23 00:00:00,UNI/USDT,9.75000000,10.26000000,9.65000000,10.00000000,2078395.51000000,20551012.43910000,54973
1647907200000,2022-03-22 00:00:00,UNI/USDT,9.35000000,10.17000000,9.27000000,9.75000000,2661212.89000000,26275283.18690000,64604
1647820800000,2022-03-21 00:00:00,UNI/USDT,9.33000000,9.61000000,9.17000000,9.34000000,2120500.49000000,19912534.41210000,47505
1647734400000,2022-03-20 00:00:00,UNI/USDT,9.74000000,9.78000000,9.13000000,9.32000000,1844603.94000000,17426167.72510000,47376
1647648000000,2022-03-19 00:00:00,UNI/USDT,9.63000000,9.96000000,9.54000000,9.74000000,3247681.74000000,31588000.49660000,63617
1647561600000,2022-03-18 00:00:00,UNI/USDT,9.23000000,9.77000000,9.00000000,9.63000000,2004333.01000000,18817662.46420000,49479
1647475200000,2022-03-17 00:00:00,UNI/USDT,9.10000000,9.41000000,9.02000000,9.22000000,1661105.99000000,15298142.51490000,32354
1647388800000,2022-03-16 00:00:00,UNI/USDT,8.72000000,9.22000000,8.50000000,9.10000000,2613174.50000000,23047092.16530000,62742
1647302400000,2022-03-15 00:00:00,UNI/USDT,8.49000000,8.80000000,8.14000000,8.72000000,1550652.01000000,13092272.93650000,45451
1647216000000,2022-03-14 00:00:00,UNI/USDT,8.20000000,8.58000000,8.10000000,8.49000000,1888909.71000000,15868582.22470000,44012
1647129600000,2022-03-13 00:00:00,UNI/USDT,8.47000000,8.76000000,8.12000000,8.19000000,1345879.23000000,11410651.80480000,34000
1647043200000,2022-03-12 00:00:00,UNI/USDT,8.51000000,8.87000000,8.44000000,8.46000000,1336697.32000000,11579403.75470000,28048
1646956800000,2022-03-11 00:00:00,UNI/USDT,8.68000000,9.05000000,8.36000000,8.51000000,2280471.78000000,19846049.15560000,47906
1646870400000,2022-03-10 00:00:00,UNI/USDT,9.22000000,9.30000000,8.49000000,8.68000000,2081355.46000000,18231298.07110000,44683
1646784000000,2022-03-09 00:00:00,UNI/USDT,8.82000000,9.46000000,8.74000000,9.21000000,2637766.42000000,24320460.69900000,58839
1646697600000,2022-03-08 00:00:00,UNI/USDT,8.31000000,8.87000000,8.24000000,8.81000000,2274200.81000000,19548219.72280000,48896
1646611200000,2022-03-07 00:00:00,UNI/USDT,8.48000000,8.80000000,8.10000000,8.30000000,2468902.65000000,20735765.59800000,50270
1646524800000,2022-03-06 00:00:00,UNI/USDT,9.02000000,9.08000000,8.44000000,8.48000000,1828590.34000000,15883220.18950000,46549
1646438400000,2022-03-05 00:00:00,UNI/USDT,8.80000000,9.14000000,8.66000000,9.01000000,1293852.52000000,11542631.43990000,33178
1646352000000,2022-03-04 00:00:00,UNI/USDT,9.56000000,9.57000000,8.65000000,8.80000000,2100224.30000000,19168821.44110000,53901
1646265600000,2022-03-03 00:00:00,UNI/USDT,10.05000000,10.12000000,9.42000000,9.55000000,1792211.69000000,17560924.62220000,56106
1646179200000,2022-03-02 00:00:00,UNI/USDT,10.36000000,10.59000000,9.95000000,10.04000000,2734874.01000000,27992043.29650000,77371
1646092800000,2022-03-01 00:00:00,UNI/USDT,10.54000000,10.83000000,10.02000000,10.35000000,3684418.62000000,38382869.68320000,105198
1646006400000,2022-02-28 00:00:00,UNI/USDT,9.78000000,10.55000000,9.36000000,10.53000000,4566984.09000000,45162179.92770000,106804
1645920000000,2022-02-27 00:00:00,UNI/USDT,9.06000000,10.15000000,8.64000000,9.77000000,5227479.72000000,50308533.93960000,127673
1645833600000,2022-02-26 00:00:00,UNI/USDT,9.25000000,9.55000000,8.93000000,9.05000000,1434761.90000000,13198928.01430000,38402
1645747200000,2022-02-25 00:00:00,UNI/USDT,8.82000000,9.43000000,8.45000000,9.25000000,1958327.84000000,17550744.02250000,53764
1645660800000,2022-02-24 00:00:00,UNI/USDT,8.74000000,9.06000000,7.51000000,8.82000000,5800166.65500000,47020556.08693400,109814
1645574400000,2022-02-23 00:00:00,UNI/USDT,8.87000000,9.46000000,8.71000000,8.74000000,1870091.15000000,16956982.75860000,44124
1645488000000,2022-02-22 00:00:00,UNI/USDT,8.52000000,8.97000000,8.13000000,8.86000000,2363257.73100000,20322893.62400000,50083
1645401600000,2022-02-21 00:00:00,UNI/USDT,9.35000000,9.76000000,8.50000000,8.53000000,2516924.76800000,23129301.26167200,62136
1645315200000,2022-02-20 00:00:00,UNI/USDT,10.02000000,10.05000000,9.18000000,9.35000000,1500266.05100000,14183379.68614900,43603
1645228800000,2022-02-19 00:00:00,UNI/USDT,10.16000000,10.42000000,9.75000000,10.03000000,1056382.64000000,10613457.67410000,33465
1645142400000,2022-02-18 00:00:00,UNI/USDT,10.41000000,10.70000000,10.04000000,10.16000000,1370733.24000000,14232283.92300000,45260
1645056000000,2022-02-17 00:00:00,UNI/USDT,11.23000000,11.38000000,10.22000000,10.40000000,1492563.74000000,16119565.42510000,54798
1644969600000,2022-02-16 00:00:00,UNI/USDT,11.47000000,11.53000000,10.78000000,11.22000000,1491829.10000000,16674315.07660000,56357
1644883200000,2022-02-15 00:00:00,UNI/USDT,10.61000000,11.53000000,10.60000000,11.47000000,1419334.10000000,15656851.27240000,56697
1644796800000,2022-02-14 00:00:00,UNI/USDT,10.33000000,10.72000000,10.10000000,10.61000000,861079.98000000,8956692.13180000,35874
1644710400000,2022-02-13 00:00:00,UNI/USDT,10.64000000,10.86000000,10.25000000,10.33000000,758608.08000000,8008466.17700000,31027
1644624000000,2022-02-12 00:00:00,UNI/USDT,10.65000000,10.98000000,10.40000000,10.65000000,1005286.41000000,10748565.90310000,42153
1644537600000,2022-02-11 00:00:00,UNI/USDT,11.41000000,11.66000000,10.38000000,10.64000000,1308177.72000000,14648016.37840000,57062
1644451200000,2022-02-10 00:00:00,UNI/USDT,12.32000000,12.35000000,11.33000000,11.41000000,2443921.95000000,28910234.79460000,91113
1644364800000,2022-02-09 00:00:00,UNI/USDT,11.94000000,12.65000000,11.60000000,12.32000000,1725896.49000000,21077876.03020000,65564
1644278400000,2022-02-08 00:00:00,UNI/USDT,12.37000000,13.00000000,11.50000000,11.94000000,3071005.14000000,37420879.20010000,110977
1644192000000,2022-02-07 00:00:00,UNI/USDT,11.67000000,12.60000000,11.38000000,12.37000000,3428495.34000000,41336995.98070000,121583
1644105600000,2022-02-06 00:00:00,UNI/USDT,11.25000000,11.73000000,11.01000000,11.67000000,1414908.03000000,16068450.59310000,54721
1644019200000,2022-02-05 00:00:00,UNI/USDT,11.18000000,12.04000000,11.11000000,11.25000000,2268387.76000000,26140158.85170000,95812
1643932800000,2022-02-04 00:00:00,UNI/USDT,10.40000000,11.50000000,10.32000000,11.18000000,2241922.29000000,24239227.73100000,85965
1643846400000,2022-02-03 00:00:00,UNI/USDT,10.51000000,10.59000000,9.97000000,10.41000000,1348397.80000000,13912493.69750000,53563
1643760000000,2022-02-02 00:00:00,UNI/USDT,11.11000000,11.36000000,10.39000000,10.52000000,1659977.39000000,18122012.19600000,74099
1643673600000,2022-02-01 00:00:00,UNI/USDT,11.77000000,11.87000000,11.01000000,11.11000000,1723172.05000000,19631150.53010000,74399
1643587200000,2022-01-31 00:00:00,UNI/USDT,10.79000000,11.90000000,10.29000000,11.77000000,1671188.24000000,18762199.28980000,79365
1643500800000,2022-01-30 00:00:00,UNI/USDT,11.15000000,11.45000000,10.64000000,10.79000000,1062723.27000000,11754739.78230000,49828
1643414400000,2022-01-29 00:00:00,UNI/USDT,10.66000000,11.24000000,10.57000000,11.16000000,1363190.07000000,14942679.52850000,53978
1643328000000,2022-01-28 00:00:00,UNI/USDT,10.32000000,10.74000000,9.85000000,10.67000000,1332611.38000000,13702327.99220000,53280
1643241600000,2022-01-27 00:00:00,UNI/USDT,10.59000000,10.92000000,9.89000000,10.32000000,2548189.29000000,26305496.54250000,79612
1643155200000,2022-01-26 00:00:00,UNI/USDT,10.59000000,11.77000000,10.35000000,10.58000000,2025241.33000000,22289823.05050000,88127
1643068800000,2022-01-25 00:00:00,UNI/USDT,10.69000000,10.94000000,10.32000000,10.58000000,1480467.38000000,15735867.91810000,57906
1642982400000,2022-01-24 00:00:00,UNI/USDT,11.42000000,11.43000000,9.53000000,10.68000000,3978296.27000000,41014113.20795600,133049
1642896000000,2022-01-23 00:00:00,UNI/USDT,11.14000000,11.93000000,10.82000000,11.42000000,2354356.17000000,26816986.49180000,82282
1642809600000,2022-01-22 00:00:00,UNI/USDT,12.64000000,13.01000000,10.35000000,11.15000000,4555381.49600000,52771592.22640200,169353
1642723200000,2022-01-21 00:00:00,UNI/USDT,14.45000000,14.67000000,12.31000000,12.64000000,2858141.44800000,38683886.02799200,137900
1642636800000,2022-01-20 00:00:00,UNI/USDT,15.12000000,16.19000000,14.37000000,14.46000000,1317288.83000000,20225780.61070000,68694
1642550400000,2022-01-19 00:00:00,UNI/USDT,15.97000000,16.23000000,15.10000000,15.11000000,1148456.18000000,17891367.38660000,64014
1642464000000,2022-01-18 00:00:00,UNI/USDT,16.64000000,17.72000000,15.62000000,15.98000000,2159779.56000000,36176222.01440000,119341
1642377600000,2022-01-17 00:00:00,UNI/USDT,17.83000000,17.96000000,16.23000000,16.63000000,1629800.43000000,27750362.90580000,94812
1642291200000,2022-01-16 00:00:00,UNI/USDT,16.47000000,18.19000000,16.29000000,17.83000000,1883856.29000000,32609220.40900000,106352
1642204800000,2022-01-15 00:00:00,UNI/USDT,15.85000000,16.72000000,15.70000000,16.47000000,1097913.21000000,17952661.61980000,59029
