unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1653436800000,2022-05-25 00:00:00,STX/USDT,0.59100000,0.63900000,0.56600000,0.58500000,5401959.80000000,3196100.93430000,11668
1653350400000,2022-05-24 00:00:00,STX/USDT,0.63200000,0.63400000,0.55400000,0.59000000,5670738.50000000,3290664.04220000,10458
1653264000000,2022-05-23 00:00:00,STX/USDT,0.55200000,0.63500000,0.54200000,0.63200000,5098019.80000000,2927226.93300000,13811
1653177600000,2022-05-22 00:00:00,STX/USDT,0.52700000,0.56600000,0.52000000,0.55200000,3106782.60000000,1686035.44120000,9063
1653091200000,2022-05-21 00:00:00,STX/USDT,0.50900000,0.52800000,0.49500000,0.52700000,2799220.70000000,1437041.29320000,8157
1653004800000,2022-05-20 00:00:00,STX/USDT,0.53300000,0.54300000,0.49400000,0.51000000,3587009.50000000,1855098.15940000,9924
1652918400000,2022-05-19 00:00:00,STX/USDT,0.50300000,0.53900000,0.48300000,0.53300000,3141372.40000000,1619829.96560000,8328
1652832000000,2022-05-18 00:00:00,STX/USDT,0.57400000,0.58100000,0.50100000,0.50300000,2912128.90000000,1558450.62530000,8659
1652745600000,2022-05-17 00:00:00,STX/USDT,0.55100000,0.58000000,0.53900000,0.57400000,2537499.00000000,1423603.43980000,8334
1652659200000,2022-05-16 00:00:00,STX/USDT,0.61200000,0.61200000,0.54400000,0.55100000,2556337.80000000,1449829.19470000,7595
1652572800000,2022-05-15 00:00:00,STX/USDT,0.56100000,0.61300000,0.53300000,0.61200000,2799642.60000000,1615121.12580000,6823
1652486400000,2022-05-14 00:00:00,STX/USDT,0.53600000,0.56900000,0.50500000,0.55900000,3176859.50000000,1711566.07670000,7927
1652400000000,2022-05-13 00:00:00,STX/USDT,0.50400000,0.61600000,0.49400000,0.53400000,6547126.40000000,3660771.94770000,14751
1652313600000,2022-05-12 00:00:00,STX/USDT,0.58300000,0.60700000,0.46000000,0.50300000,8751611.43000000,4445557.26265700,17673
1652227200000,2022-05-11 00:00:00,STX/USDT,0.66900000,0.71500000,0.52400000,0.58400000,10543326.42000000,6455916.95190000,25402
1652140800000,2022-05-10 00:00:00,STX/USDT,0.64100000,0.74200000,0.61400000,0.67000000,4059274.20000000,2758058.07030000,11889
1652054400000,2022-05-09 00:00:00,STX/USDT,0.77900000,0.79000000,0.63900000,0.64200000,4779762.80000000,3415255.55920000,14578
1651968000000,2022-05-08 00:00:00,STX/USDT,0.81600000,0.81800000,0.76200000,0.77800000,2192412.90000000,1719707.59470000,7333
1651881600000,2022-05-07 00:00:00,STX/USDT,0.86200000,0.86900000,0.78900000,0.81500000,1434287.70000000,1200221.79600000,5945
