unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1651881600000,2022-05-07 00:00:00,NEAR/USDT,10.77900000,10.86000000,10.03300000,10.43800000,8451929.30000000,89057716.37330000,208942
1651795200000,2022-05-06 00:00:00,NEAR/USDT,11.21500000,11.32800000,10.41800000,10.77900000,13831512.90000000,149083770.32590000,309805
1651708800000,2022-05-05 00:00:00,NEAR/USDT,12.98000000,13.19500000,10.78800000,11.21700000,18412760.50000000,216181336.73030000,435812
1651622400000,2022-05-04 00:00:00,NEAR/USDT,11.99900000,13.06000000,11.86800000,12.97900000,15747141.30000000,194468013.91600000,408993
1651536000000,2022-05-03 00:00:00,NEAR/USDT,11.84900000,12.17600000,11.30600000,11.99800000,11250996.10000000,132908962.03410000,295130
1651449600000,2022-05-02 00:00:00,NEAR/USDT,11.84000000,12.19900000,11.08700000,11.84900000,16510041.70000000,192533500.80160000,467907
1651363200000,2022-05-01 00:00:00,NEAR/USDT,10.33500000,12.29400000,10.13600000,11.83700000,18414456.20000000,207160918.95670000,493407
1651276800000,2022-04-30 00:00:00,NEAR/USDT,11.28800000,11.79500000,10.10000000,10.33600000,11668267.00000000,129167413.18290000,292438
1651190400000,2022-04-29 00:00:00,NEAR/USDT,12.40200000,12.54000000,11.11000000,11.28900000,12397766.00000000,146471160.57130000,283327
1651104000000,2022-04-28 00:00:00,NEAR/USDT,12.87900000,13.15000000,12.25000000,12.40200000,11752863.10000000,149045862.41380000,294903
1651017600000,2022-04-27 00:00:00,NEAR/USDT,12.68800000,13.28100000,12.44200000,12.87900000,14373076.30000000,185085456.69340000,380534
1650931200000,2022-04-26 00:00:00,NEAR/USDT,14.27400000,15.20000000,12.36200000,12.68500000,18150215.60000000,253400537.95830000,454732
1650844800000,2022-04-25 00:00:00,NEAR/USDT,15.00600000,15.05600000,13.57000000,14.27500000,18987008.00000000,267617978.46700000,472821
1650758400000,2022-04-24 00:00:00,NEAR/USDT,15.32500000,15.58200000,14.82200000,15.00600000,7788475.90000000,118401491.83670000,242819
1650672000000,2022-04-23 00:00:00,NEAR/USDT,15.56900000,15.92700000,15.11100000,15.32600000,7006793.40000000,109062715.61160000,249629
1650585600000,2022-04-22 00:00:00,NEAR/USDT,15.64000000,15.83900000,15.05300000,15.56900000,10839843.00000000,167705149.95940000,308106
1650499200000,2022-04-21 00:00:00,NEAR/USDT,16.64900000,17.18100000,15.10000000,15.64000000,16961192.30000000,276477134.75270000,439218
1650412800000,2022-04-20 00:00:00,NEAR/USDT,17.41700000,17.82000000,16.34500000,16.65400000,15236513.70000000,259869240.86480000,426763
1650326400000,2022-04-19 00:00:00,NEAR/USDT,16.16900000,17.55000000,16.15900000,17.41700000,18447988.90000000,313728033.62610000,547009
1650240000000,2022-04-18 00:00:00,NEAR/USDT,15.68100000,16.34900000,14.68200000,16.16900000,14489934.10000000,224194491.28290000,417063
1650153600000,2022-04-17 00:00:00,NEAR/USDT,15.93600000,16.81300000,15.60000000,15.68200000,8370547.80000000,135162354.10080000,251115
1650067200000,2022-04-16 00:00:00,NEAR/USDT,16.03200000,16.30700000,15.54500000,15.93400000,6043635.40000000,96227393.58770000,165835
1649980800000,2022-04-15 00:00:00,NEAR/USDT,16.38500000,16.56400000,15.65500000,16.03200000,10144087.50000000,162493466.96800000,276358
1649894400000,2022-04-14 00:00:00,NEAR/USDT,16.83300000,17.76600000,15.92400000,16.38400000,16000883.80000000,270993463.21970000,469341
1649808000000,2022-04-13 00:00:00,NEAR/USDT,16.53000000,16.98800000,15.59200000,16.83700000,13794874.90000000,225824022.81050000,389339
1649721600000,2022-04-12 00:00:00,NEAR/USDT,16.05100000,17.17400000,15.56300000,16.53000000,26404563.90000000,430849561.03500000,670262
1649635200000,2022-04-11 00:00:00,NEAR/USDT,15.79900000,16.45200000,14.93100000,16.05100000,24293805.90000000,380029111.09420000,525299
1649548800000,2022-04-10 00:00:00,NEAR/USDT,17.55200000,17.69700000,15.71100000,15.80400000,13453229.70000000,224636930.23080000,357204
1649462400000,2022-04-09 00:00:00,NEAR/USDT,17.52200000,18.18600000,16.11100000,17.55300000,20825524.00000000,352756771.32780000,494074
1649376000000,2022-04-08 00:00:00,NEAR/USDT,17.43900000,19.78800000,17.06400000,17.52700000,47190840.80000000,872013953.95570000,1167738
1649289600000,2022-04-07 00:00:00,NEAR/USDT,15.26200000,17.50000000,14.59700000,17.44700000,21698679.50000000,339712013.63660000,468716
1649203200000,2022-04-06 00:00:00,NEAR/USDT,16.14000000,17.08300000,15.07800000,15.27200000,34100746.30000000,549214558.72470000,760832
1649116800000,2022-04-05 00:00:00,NEAR/USDT,17.11100000,17.65000000,15.86300000,16.14000000,16550530.60000000,279374814.85520000,413084
1649030400000,2022-04-04 00:00:00,NEAR/USDT,16.80600000,18.00000000,15.31100000,17.11500000,27615632.20000000,460055843.23570000,625381
1648944000000,2022-04-03 00:00:00,NEAR/USDT,14.82500000,17.43000000,14.55100000,16.81300000,20711278.20000000,339955341.45210000,522344
1648857600000,2022-04-02 00:00:00,NEAR/USDT,14.73800000,16.28800000,14.36100000,14.82500000,16409947.30000000,253240211.22380000,427473
1648771200000,2022-04-01 00:00:00,NEAR/USDT,13.30100000,14.75000000,12.53300000,14.74000000,11251454.50000000,153123725.74620000,237763
1648684800000,2022-03-31 00:00:00,NEAR/USDT,14.03400000,14.38300000,12.97000000,13.30200000,10499897.80000000,143741064.78560000,220871
1648598400000,2022-03-30 00:00:00,NEAR/USDT,14.09700000,14.71200000,13.53000000,14.03400000,10958136.50000000,155200964.80110000,260888
1648512000000,2022-03-29 00:00:00,NEAR/USDT,12.64100000,14.42800000,12.59900000,14.10100000,15928040.80000000,217130510.97390000,330225
1648425600000,2022-03-28 00:00:00,NEAR/USDT,13.19600000,13.49900000,12.50500000,12.64000000,9740299.50000000,128315743.39170000,188961
1648339200000,2022-03-27 00:00:00,NEAR/USDT,12.71600000,13.22700000,12.48200000,13.19700000,7187618.00000000,92569580.01630000,148100
1648252800000,2022-03-26 00:00:00,NEAR/USDT,12.22100000,13.54400000,12.14500000,12.71400000,10830250.30000000,141226006.70510000,239256
1648166400000,2022-03-25 00:00:00,NEAR/USDT,12.89500000,12.90000000,11.92700000,12.22100000,9306749.50000000,116194882.44600000,200109
1648080000000,2022-03-24 00:00:00,NEAR/USDT,12.49200000,13.20000000,11.90300000,12.89600000,12391485.30000000,153544766.36090000,266876
1647993600000,2022-03-23 00:00:00,NEAR/USDT,11.07100000,12.71900000,10.88200000,12.49300000,13695498.20000000,162639712.71970000,264970
1647907200000,2022-03-22 00:00:00,NEAR/USDT,10.86200000,11.50000000,10.80400000,11.07000000,7006834.70000000,78744171.16900000,133120
1647820800000,2022-03-21 00:00:00,NEAR/USDT,10.65200000,11.28800000,10.51900000,10.86200000,6530709.50000000,71357542.36590000,128372
1647734400000,2022-03-20 00:00:00,NEAR/USDT,11.29300000,11.34300000,10.58000000,10.65300000,4677098.50000000,50920784.46870000,91842
1647648000000,2022-03-19 00:00:00,NEAR/USDT,11.35400000,11.56000000,11.05700000,11.29300000,5790549.90000000,65461697.88510000,109594
1647561600000,2022-03-18 00:00:00,NEAR/USDT,10.72300000,11.49500000,10.42300000,11.35500000,7050605.70000000,76431037.61580000,119413
1647475200000,2022-03-17 00:00:00,NEAR/USDT,10.81600000,11.19200000,10.66300000,10.72300000,8221120.70000000,89568928.16430000,140291
1647388800000,2022-03-16 00:00:00,NEAR/USDT,10.11500000,10.84700000,9.92500000,10.81500000,11466162.60000000,118167450.34750000,190138
1647302400000,2022-03-15 00:00:00,NEAR/USDT,10.13100000,10.39900000,9.83100000,10.11300000,8637866.90000000,87477315.16780000,157998
1647216000000,2022-03-14 00:00:00,NEAR/USDT,9.84800000,10.19500000,9.60800000,10.13000000,8430692.50000000,83671070.89680000,149031
1647129600000,2022-03-13 00:00:00,NEAR/USDT,10.32800000,10.47500000,9.72300000,9.85000000,6517122.20000000,66394992.12870000,112259
1647043200000,2022-03-12 00:00:00,NEAR/USDT,10.24800000,10.63300000,10.23400000,10.32700000,6216409.30000000,64832593.57240000,120840
1646956800000,2022-03-11 00:00:00,NEAR/USDT,11.04200000,11.36300000,10.23000000,10.25200000,13896245.00000000,148917336.92280000,252243
1646870400000,2022-03-10 00:00:00,NEAR/USDT,11.59900000,11.99000000,10.50300000,11.04200000,19164390.40000000,212844137.21250000,382619
1646784000000,2022-03-09 00:00:00,NEAR/USDT,9.73300000,11.71400000,9.69200000,11.59800000,16831600.50000000,185068197.67930000,311276
1646697600000,2022-03-08 00:00:00,NEAR/USDT,9.65700000,9.95300000,9.54400000,9.73100000,6864142.90000000,67189017.12340000,127723
1646611200000,2022-03-07 00:00:00,NEAR/USDT,10.09400000,10.33500000,9.32100000,9.65800000,11014466.40000000,109039025.40820000,197564
1646524800000,2022-03-06 00:00:00,NEAR/USDT,10.50400000,10.87400000,10.08700000,10.09400000,10069605.80000000,105735493.88450000,173589
1646438400000,2022-03-05 00:00:00,NEAR/USDT,10.42700000,10.75600000,10.05800000,10.50500000,8445830.90000000,88164108.12520000,157994
1646352000000,2022-03-04 00:00:00,NEAR/USDT,11.03100000,11.79000000,10.30100000,10.42800000,16040157.80000000,177427391.74620000,292159
1646265600000,2022-03-03 00:00:00,NEAR/USDT,11.09100000,11.62900000,10.70400000,11.03500000,12178786.30000000,135935692.85080000,246583
1646179200000,2022-03-02 00:00:00,NEAR/USDT,11.80900000,11.91400000,10.75000000,11.08500000,14609538.50000000,164983655.52070000,294084
1646092800000,2022-03-01 00:00:00,NEAR/USDT,9.75700000,11.94000000,9.48300000,11.80800000,24409388.40000000,262917607.93690000,472886
1646006400000,2022-02-28 00:00:00,NEAR/USDT,8.51200000,9.78000000,8.30900000,9.75900000,9068323.40000000,81257774.86510000,156970
1645920000000,2022-02-27 00:00:00,NEAR/USDT,9.11700000,9.17300000,8.28300000,8.50800000,6840159.80000000,59980326.39850000,127696
1645833600000,2022-02-26 00:00:00,NEAR/USDT,8.93500000,9.39600000,8.88100000,9.11700000,6753506.10000000,62053252.17260000,127915
1645747200000,2022-02-25 00:00:00,NEAR/USDT,8.48900000,9.04900000,8.22800000,8.93500000,7865253.60000000,67848633.46910000,143794
1645660800000,2022-02-24 00:00:00,NEAR/USDT,8.55800000,8.82400000,7.38500000,8.48800000,17816580.60000000,141828640.83960000,286040
1645574400000,2022-02-23 00:00:00,NEAR/USDT,8.95900000,9.44800000,8.52500000,8.55600000,6861524.40000000,62235840.70380000,120417
1645488000000,2022-02-22 00:00:00,NEAR/USDT,8.54700000,9.02400000,8.20500000,8.96500000,7822610.10000000,67319245.20180000,133596
1645401600000,2022-02-21 00:00:00,NEAR/USDT,9.29400000,9.84600000,8.49400000,8.54500000,8819899.80000000,81618219.44100000,170965
1645315200000,2022-02-20 00:00:00,NEAR/USDT,10.04400000,10.08100000,9.08800000,9.29300000,5966735.00000000,56654961.08130000,112171
1645228800000,2022-02-19 00:00:00,NEAR/USDT,10.27400000,10.47600000,9.83600000,10.04400000,4431814.50000000,44904765.27120000,89047
1645142400000,2022-02-18 00:00:00,NEAR/USDT,10.45100000,10.94700000,10.11500000,10.27500000,6327293.20000000,66439040.25090000,123196
1645056000000,2022-02-17 00:00:00,NEAR/USDT,11.21100000,11.72900000,10.40000000,10.44500000,8724050.20000000,96829495.72700000,181799
1644969600000,2022-02-16 00:00:00,NEAR/USDT,11.51200000,11.51900000,10.82400000,11.22300000,4635594.60000000,51709218.12850000,100130
1644883200000,2022-02-15 00:00:00,NEAR/USDT,10.55900000,11.60000000,10.49200000,11.51000000,6906966.60000000,76608719.70420000,124178
1644796800000,2022-02-14 00:00:00,NEAR/USDT,10.37900000,10.67600000,10.04100000,10.55400000,5308924.20000000,54898559.88200000,98620
1644710400000,2022-02-13 00:00:00,NEAR/USDT,10.79700000,11.20000000,10.12300000,10.38000000,5480309.80000000,58235490.42370000,107322
1644624000000,2022-02-12 00:00:00,NEAR/USDT,10.85400000,11.24700000,10.40000000,10.79300000,7232911.90000000,78191827.45430000,138927
1644537600000,2022-02-11 00:00:00,NEAR/USDT,11.78300000,12.32700000,10.64400000,10.85400000,9115922.00000000,105333132.54650000,195724
1644451200000,2022-02-10 00:00:00,NEAR/USDT,12.99600000,13.00500000,11.69900000,11.78700000,8628835.10000000,106339107.40830000,197158
1644364800000,2022-02-09 00:00:00,NEAR/USDT,12.78200000,13.10500000,12.09800000,12.99500000,6802873.40000000,86330734.62670000,154674
1644278400000,2022-02-08 00:00:00,NEAR/USDT,13.51000000,13.75000000,12.20000000,12.77800000,12742429.90000000,164164856.19550000,262304
1644192000000,2022-02-07 00:00:00,NEAR/USDT,13.49600000,14.08300000,13.06600000,13.50300000,11610916.30000000,157659565.92420000,257235
1644105600000,2022-02-06 00:00:00,NEAR/USDT,12.82000000,13.97300000,12.74000000,13.49500000,11213044.30000000,149604561.17270000,247665
1644019200000,2022-02-05 00:00:00,NEAR/USDT,12.98400000,13.59200000,12.56900000,12.81500000,12927701.10000000,168798381.72530000,272483
1643932800000,2022-02-04 00:00:00,NEAR/USDT,10.95700000,13.16400000,10.83200000,12.98400000,15562189.80000000,185837659.92390000,298728
1643846400000,2022-02-03 00:00:00,NEAR/USDT,10.86200000,10.99300000,10.43800000,10.95900000,8093251.20000000,86686369.07190000,156228
1643760000000,2022-02-02 00:00:00,NEAR/USDT,11.20900000,11.95000000,10.85100000,10.86300000,10732381.90000000,122195380.59660000,213473
1643673600000,2022-02-01 00:00:00,NEAR/USDT,11.12200000,11.52800000,10.92100000,11.21100000,6977477.80000000,78234393.32700000,140875
1643587200000,2022-01-31 00:00:00,NEAR/USDT,10.35700000,11.36700000,10.02900000,11.12000000,8148127.80000000,86985997.45840000,155087
1643500800000,2022-01-30 00:00:00,NEAR/USDT,11.04400000,11.15700000,10.26400000,10.35700000,6386429.30000000,68864473.97190000,132030
1643414400000,2022-01-29 00:00:00,NEAR/USDT,10.77300000,11.37800000,10.65000000,11.04800000,7289215.40000000,80386603.04820000,160753
1643328000000,2022-01-28 00:00:00,NEAR/USDT,10.53700000,10.89300000,10.06600000,10.76900000,10654080.80000000,111212874.71620000,215936
1643241600000,2022-01-27 00:00:00,NEAR/USDT,11.29800000,11.77200000,9.93600000,10.54100000,18223245.60000000,198004002.83450000,326365
1643155200000,2022-01-26 00:00:00,NEAR/USDT,12.13100000,12.93700000,10.73500000,11.30200000,23614921.70000000,281386448.26120000,467075
1643068800000,2022-01-25 00:00:00,NEAR/USDT,10.71900000,12.49800000,9.97300000,12.13500000,17682492.50000000,196724730.72250000,347576
1642982400000,2022-01-24 00:00:00,NEAR/USDT,11.70000000,11.71200000,9.50900000,10.71900000,25040201.50000000,256994817.16990000,439983
1642896000000,2022-01-23 00:00:00,NEAR/USDT,11.40800000,12.58500000,10.82300000,11.69600000,18776863.30000000,220079750.63760000,355629
1642809600000,2022-01-22 00:00:00,NEAR/USDT,13.22400000,13.53800000,10.09200000,11.40700000,27432919.20000000,319093800.86890000,534329
