unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,tradecount
1652918400000,2022-05-19 00:00:00,AVAX/USDT,29.59000000,31.89000000,27.51000000,30.39000000,4763307.53000000,140996504.44800000,337233
1652832000000,2022-05-18 00:00:00,AVAX/USDT,34.40000000,35.16000000,29.37000000,29.58000000,3400565.86000000,108263640.76510000,267351
1652745600000,2022-05-17 00:00:00,AVAX/USDT,32.56000000,35.77000000,32.20000000,34.39000000,3323237.18000000,112815198.97340000,285123
1652659200000,2022-05-16 00:00:00,AVAX/USDT,36.56000000,36.56000000,31.40000000,32.56000000,4737925.30000000,157350704.40580000,397953
1652572800000,2022-05-15 00:00:00,AVAX/USDT,33.93000000,37.07000000,31.87000000,36.57000000,3611773.82000000,124438388.64520000,332711
1652486400000,2022-05-14 00:00:00,AVAX/USDT,32.20000000,34.32000000,29.27000000,33.93000000,4033165.08000000,128006346.46110000,332116
1652400000000,2022-05-13 00:00:00,AVAX/USDT,30.31000000,37.99000000,29.55000000,32.21000000,7405352.03000000,253666797.81290000,528898
1652313600000,2022-05-12 00:00:00,AVAX/USDT,31.17000000,33.94000000,23.51000000,30.32000000,11602675.67000000,337685872.38066000,857502
1652227200000,2022-05-11 00:00:00,AVAX/USDT,44.58000000,46.25000000,26.11000000,31.17000000,12956731.61300000,461836384.18578300,1182055
1652140800000,2022-05-10 00:00:00,AVAX/USDT,41.20000000,50.32000000,40.00000000,44.58000000,6887935.36000000,312339162.45460000,667736
1652054400000,2022-05-09 00:00:00,AVAX/USDT,51.62000000,53.06000000,41.15000000,41.20000000,5783146.80000000,272639795.89910000,558091
1651968000000,2022-05-08 00:00:00,AVAX/USDT,55.05000000,55.47000000,50.63000000,51.62000000,3163317.55000000,167049739.64920000,295120
1651881600000,2022-05-07 00:00:00,AVAX/USDT,57.00000000,57.53000000,53.24000000,55.04000000,1898625.35000000,106516306.68210000,183317
1651795200000,2022-05-06 00:00:00,AVAX/USDT,59.04000000,59.40000000,55.00000000,57.00000000,2822758.39000000,161307181.25070000,284331
1651708800000,2022-05-05 00:00:00,AVAX/USDT,67.28000000,69.52000000,56.51000000,59.04000000,4442154.36000000,273638039.07860000,431253
1651622400000,2022-05-04 00:00:00,AVAX/USDT,59.63000000,67.64000000,59.30000000,67.27000000,2409142.35000000,152081544.43300000,267842
1651536000000,2022-05-03 00:00:00,AVAX/USDT,60.34000000,62.55000000,58.12000000,59.63000000,1686585.01000000,101966304.57110000,177566
1651449600000,2022-05-02 00:00:00,AVAX/USDT,58.74000000,62.46000000,56.74000000,60.34000000,2855611.45000000,169730688.57690000,300423
1651363200000,2022-05-01 00:00:00,AVAX/USDT,56.98000000,61.14000000,56.27000000,58.77000000,2344079.85000000,137544274.08840000,266367
1651276800000,2022-04-30 00:00:00,AVAX/USDT,63.40000000,64.65000000,55.05000000,56.98000000,2393352.67000000,143451300.11550000,221535
1651190400000,2022-04-29 00:00:00,AVAX/USDT,67.26000000,67.99000000,62.20000000,63.40000000,1419116.89000000,92784258.17600000,180079
1651104000000,2022-04-28 00:00:00,AVAX/USDT,69.86000000,70.76000000,66.65000000,67.26000000,1530116.95000000,104965042.10570000,186555
1651017600000,2022-04-27 00:00:00,AVAX/USDT,68.70000000,71.98000000,68.32000000,69.86000000,1173322.27000000,82190463.96590000,176262
1650931200000,2022-04-26 00:00:00,AVAX/USDT,72.90000000,73.18000000,67.50000000,68.70000000,1568050.00000000,109748648.93870000,200668
1650844800000,2022-04-25 00:00:00,AVAX/USDT,71.50000000,72.99000000,67.36000000,72.88000000,2017379.58000000,140782638.15260000,269381
1650758400000,2022-04-24 00:00:00,AVAX/USDT,72.84000000,73.49000000,71.00000000,71.51000000,671237.21000000,48552622.79740000,108363
