unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1648512000000,2022-03-29 00:00:00,VET/USDT,0.07091000,0.07521000,0.07027000,0.07246000,1249307958.10000000,91202101.82392600,309641
1648425600000,2022-03-28 00:00:00,VET/USDT,0.07470000,0.08161000,0.07000000,0.07091000,3308808087.80000000,253275503.11121900,925937
1648339200000,2022-03-27 00:00:00,VET/USDT,0.06437000,0.08004000,0.06334000,0.07471000,5634023601.70000000,405187203.66735000,1618845
1648252800000,2022-03-26 00:00:00,VET/USDT,0.05562000,0.06569000,0.05541000,0.06436000,1293081323.10000000,78941653.90257400,357397
1648166400000,2022-03-25 00:00:00,VET/USDT,0.05756000,0.05898000,0.05497000,0.05562000,786622526.80000000,44983416.94502200,160965
1648080000000,2022-03-24 00:00:00,VET/USDT,0.05597000,0.05843000,0.05497000,0.05757000,888478221.60000000,50777123.46651000,170385
1647993600000,2022-03-23 00:00:00,VET/USDT,0.05324000,0.05618000,0.05262000,0.05596000,870086753.10000000,47337952.62829400,159701
1647907200000,2022-03-22 00:00:00,VET/USDT,0.05061000,0.05388000,0.05039000,0.05320000,827374172.50000000,43541291.44736700,131561
1647820800000,2022-03-21 00:00:00,VET/USDT,0.04998000,0.05196000,0.04876000,0.05063000,667660446.90000000,33796614.62713000,90891
1647734400000,2022-03-20 00:00:00,VET/USDT,0.05127000,0.05280000,0.04882000,0.04998000,647772848.00000000,32886511.64669600,113867
1647648000000,2022-03-19 00:00:00,VET/USDT,0.04947000,0.05172000,0.04947000,0.05129000,601724911.30000000,30451259.47195100,93950
1647561600000,2022-03-18 00:00:00,VET/USDT,0.04835000,0.04990000,0.04706000,0.04946000,472606185.70000000,22863478.86361100,70950
1647475200000,2022-03-17 00:00:00,VET/USDT,0.04830000,0.04975000,0.04764000,0.04835000,578314408.00000000,28119803.99666200,80988
1647388800000,2022-03-16 00:00:00,VET/USDT,0.04586000,0.04861000,0.04544000,0.04831000,921310942.20000000,43142399.85025900,141710
1647302400000,2022-03-15 00:00:00,VET/USDT,0.04583000,0.04663000,0.04423000,0.04585000,592642684.90000000,26953200.13358500,78265
1647216000000,2022-03-14 00:00:00,VET/USDT,0.04454000,0.04618000,0.04428000,0.04582000,689592967.80000000,31217122.59036400,81906
1647129600000,2022-03-13 00:00:00,VET/USDT,0.04624000,0.04716000,0.04406000,0.04454000,604691159.60000000,27767297.98730300,77915
1647043200000,2022-03-12 00:00:00,VET/USDT,0.04622000,0.04748000,0.04613000,0.04625000,426772621.90000000,19967687.47449800,56096
1646956800000,2022-03-11 00:00:00,VET/USDT,0.04696000,0.04857000,0.04536000,0.04622000,694782807.30000000,32630348.73180000,95745
1646870400000,2022-03-10 00:00:00,VET/USDT,0.04851000,0.04881000,0.04522000,0.04696000,905163477.60000000,42089061.64587700,123069
