unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1646524800000,2022-03-06 00:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99990000,85123797.00000000,85111105.83030000,35753
1646438400000,2022-03-05 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,69484655.00000000,69473769.10640000,35838
1646352000000,2022-03-04 00:00:00,USDC/USDT,1.00000000,1.00010000,0.99970000,0.99980000,165196602.00000000,165175897.96020000,83970
1646265600000,2022-03-03 00:00:00,USDC/USDT,0.99960000,1.00010000,0.99960000,1.00000000,131213574.00000000,131183484.42970000,52780
1646179200000,2022-03-02 00:00:00,USDC/USDT,0.99960000,0.99980000,0.99950000,0.99970000,207648660.00000000,207577839.86420000,81047
1646092800000,2022-03-01 00:00:00,USDC/USDT,0.99970000,0.99990000,0.99950000,0.99970000,250243557.00000000,250165071.52810000,103946
1646006400000,2022-02-28 00:00:00,USDC/USDT,0.99960000,0.99980000,0.99950000,0.99970000,160610280.00000000,160553399.19390000,74760
1645920000000,2022-02-27 00:00:00,USDC/USDT,0.99960000,0.99970000,0.99940000,0.99960000,122112863.00000000,122057535.57340000,57459
1645833600000,2022-02-26 00:00:00,USDC/USDT,0.99960000,0.99970000,0.99950000,0.99950000,77646138.00000000,77613281.88050000,45185
1645747200000,2022-02-25 00:00:00,USDC/USDT,0.99950000,0.99990000,0.99920000,0.99970000,185271078.00000000,185198834.71970000,71358
1645660800000,2022-02-24 00:00:00,USDC/USDT,0.99950000,0.99980000,0.99930000,0.99960000,293439750.00000000,293323606.22590000,110241
1645574400000,2022-02-23 00:00:00,USDC/USDT,0.99950000,0.99960000,0.99930000,0.99940000,128211814.00000000,128142466.42460000,67685
1645488000000,2022-02-22 00:00:00,USDC/USDT,0.99940000,0.99970000,0.99940000,0.99950000,125471788.00000000,125415061.60890000,43891
1645401600000,2022-02-21 00:00:00,USDC/USDT,0.99970000,0.99970000,0.99930000,0.99940000,166586498.00000000,166497326.07250000,72772
1645315200000,2022-02-20 00:00:00,USDC/USDT,0.99970000,0.99970000,0.99960000,0.99960000,64141695.00000000,64119008.23560000,22879
1645228800000,2022-02-19 00:00:00,USDC/USDT,0.99950000,0.99970000,0.99940000,0.99970000,49913016.00000000,49888274.20100000,19874
