unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1651708800000,2022-05-05 00:00:00,DOT/USDT,16.34000000,16.45000000,14.02000000,14.58000000,9116577.82000000,137294027.67580000,214438
1651622400000,2022-05-04 00:00:00,DOT/USDT,14.73000000,16.35000000,14.66000000,16.34000000,6243464.14000000,96420634.58890000,141696
1651536000000,2022-05-03 00:00:00,DOT/USDT,14.97000000,15.23000000,14.52000000,14.72000000,3404204.43000000,50784170.61800000,78494
1651449600000,2022-05-02 00:00:00,DOT/USDT,15.36000000,15.60000000,14.56000000,14.96000000,5385162.38000000,80994840.17450000,131461
1651363200000,2022-05-01 00:00:00,DOT/USDT,14.50000000,15.53000000,14.48000000,15.36000000,5066643.89000000,76000246.15260000,142003
1651276800000,2022-04-30 00:00:00,DOT/USDT,16.19000000,16.45000000,14.18000000,14.50000000,6047042.51000000,93498795.72190000,155043
1651190400000,2022-04-29 00:00:00,DOT/USDT,16.99000000,17.07000000,15.99000000,16.19000000,4036404.24000000,66481128.25670000,110239
1651104000000,2022-04-28 00:00:00,DOT/USDT,16.94000000,17.43000000,16.75000000,16.99000000,4260939.10000000,72640479.27650000,120035
1651017600000,2022-04-27 00:00:00,DOT/USDT,16.68000000,17.27000000,16.48000000,16.94000000,3781290.25000000,64041285.25950000,102653
1650931200000,2022-04-26 00:00:00,DOT/USDT,18.11000000,18.34000000,16.40000000,16.68000000,5792628.08000000,100624509.79980000,153082
1650844800000,2022-04-25 00:00:00,DOT/USDT,18.17000000,18.25000000,17.12000000,18.10000000,5316099.45000000,93660434.22060000,152371
1650758400000,2022-04-24 00:00:00,DOT/USDT,18.69000000,19.16000000,18.07000000,18.17000000,3027438.28000000,56196588.48330000,90421
1650672000000,2022-04-23 00:00:00,DOT/USDT,18.28000000,19.27000000,17.96000000,18.69000000,3583194.77000000,66980562.55070000,110244
1650585600000,2022-04-22 00:00:00,DOT/USDT,18.17000000,18.53000000,18.07000000,18.28000000,3634735.07000000,66517627.91520000,93788
1650499200000,2022-04-21 00:00:00,DOT/USDT,19.10000000,19.68000000,18.03000000,18.18000000,4574629.37000000,87013012.06870000,147076
1650412800000,2022-04-20 00:00:00,DOT/USDT,18.89000000,19.54000000,18.54000000,19.09000000,5373410.27000000,102401843.85270000,162840
1650326400000,2022-04-19 00:00:00,DOT/USDT,18.16000000,18.96000000,18.04000000,18.88000000,3242472.57000000,59892582.05540000,93175
1650240000000,2022-04-18 00:00:00,DOT/USDT,17.74000000,18.36000000,17.10000000,18.15000000,4831063.54000000,85429480.17900000,130168
1650153600000,2022-04-17 00:00:00,DOT/USDT,18.61000000,18.81000000,17.65000000,17.74000000,2796505.88000000,51355426.95070000,79407
1650067200000,2022-04-16 00:00:00,DOT/USDT,18.35000000,18.70000000,18.17000000,18.61000000,2340391.42000000,43115226.53520000,67396
1649980800000,2022-04-15 00:00:00,DOT/USDT,17.91000000,18.43000000,17.78000000,18.34000000,2489380.26000000,45171891.51460000,76905
1649894400000,2022-04-14 00:00:00,DOT/USDT,18.20000000,18.48000000,17.47000000,17.91000000,3580226.26000000,64403775.68250000,100658
1649808000000,2022-04-13 00:00:00,DOT/USDT,17.77000000,18.30000000,17.37000000,18.20000000,3723536.86000000,66760393.29010000,109086
1649721600000,2022-04-12 00:00:00,DOT/USDT,17.20000000,18.04000000,17.16000000,17.77000000,5075204.98000000,89394319.72510000,140966
1649635200000,2022-04-11 00:00:00,DOT/USDT,19.23000000,19.29000000,17.00000000,17.20000000,7676575.11000000,138208099.36420000,196300
1649548800000,2022-04-10 00:00:00,DOT/USDT,19.76000000,20.25000000,19.16000000,19.22000000,3716291.30000000,73328405.15570000,92359
1649462400000,2022-04-09 00:00:00,DOT/USDT,19.43000000,19.83000000,19.29000000,19.75000000,2328439.00000000,45610810.15240000,60605
1649376000000,2022-04-08 00:00:00,DOT/USDT,20.40000000,20.58000000,19.14000000,19.43000000,4641004.36000000,93149029.40700000,119032
1649289600000,2022-04-07 00:00:00,DOT/USDT,19.84000000,20.65000000,19.45000000,20.40000000,5000936.99000000,100597301.64930000,143840
1649203200000,2022-04-06 00:00:00,DOT/USDT,21.78000000,21.82000000,19.71000000,19.85000000,8285158.05000000,172120456.41770000,254683
1649116800000,2022-04-05 00:00:00,DOT/USDT,22.90000000,23.12000000,21.68000000,21.78000000,6045973.86000000,136552989.25880000,169360
1649030400000,2022-04-04 00:00:00,DOT/USDT,23.21000000,23.23000000,21.60000000,22.89000000,7444175.86000000,167399546.21410000,209325
1648944000000,2022-04-03 00:00:00,DOT/USDT,22.61000000,23.57000000,22.51000000,23.21000000,7497259.93000000,172737851.89520000,209588
1648857600000,2022-04-02 00:00:00,DOT/USDT,22.07000000,23.85000000,21.95000000,22.61000000,10723061.37000000,245877307.21840000,391350
1648771200000,2022-04-01 00:00:00,DOT/USDT,21.33000000,22.17000000,20.60000000,22.07000000,7952049.94000000,170143990.99540000,237844
1648684800000,2022-03-31 00:00:00,DOT/USDT,22.46000000,23.06000000,21.08000000,21.33000000,8749758.60000000,193846033.75790000,248492
1648598400000,2022-03-30 00:00:00,DOT/USDT,22.43000000,23.00000000,21.62000000,22.45000000,7985199.05000000,178216316.66870000,229519
1648512000000,2022-03-29 00:00:00,DOT/USDT,21.99000000,22.96000000,21.83000000,22.42000000,7738475.52000000,173592000.54550000,214376
