unix,date,symbol,open,high,low,close,Volume XTZ,Volume USDT,tradecount
1651449600000,2022-05-02 00:00:00,XTZ/USDT,2.57100000,2.60900000,2.39000000,2.49500000,5094554.74000000,12741088.10830700,44994
1651363200000,2022-05-01 00:00:00,XTZ/USDT,2.53400000,2.60500000,2.46400000,2.57100000,3312516.20000000,8401973.00970000,34818
1651276800000,2022-04-30 00:00:00,XTZ/USDT,2.68600000,2.75100000,2.42900000,2.53400000,3749334.42000000,9871340.40700000,42763
1651190400000,2022-04-29 00:00:00,XTZ/USDT,2.80500000,2.82500000,2.64000000,2.68700000,3515230.90000000,9602851.35200000,34950
1651104000000,2022-04-28 00:00:00,XTZ/USDT,2.82000000,2.85700000,2.73600000,2.80400000,3149307.90000000,8847736.27390000,35326
1651017600000,2022-04-27 00:00:00,XTZ/USDT,2.74800000,2.85500000,2.70400000,2.82000000,2696128.70000000,7518346.39210000,31978
1650931200000,2022-04-26 00:00:00,XTZ/USDT,2.95200000,2.97300000,2.74500000,2.74700000,3742003.80000000,10701144.43950000,44416
1650844800000,2022-04-25 00:00:00,XTZ/USDT,2.96000000,2.96700000,2.79200000,2.95200000,4184413.00000000,12044134.84780000,51767
1650758400000,2022-04-24 00:00:00,XTZ/USDT,3.00100000,3.04300000,2.92900000,2.96000000,2590323.10000000,7758307.91530000,31541
1650672000000,2022-04-23 00:00:00,XTZ/USDT,3.08200000,3.09800000,2.99000000,3.00000000,1640017.80000000,4985147.25240000,22701
1650585600000,2022-04-22 00:00:00,XTZ/USDT,3.03000000,3.15900000,2.98200000,3.08100000,3622391.20000000,11115377.84500000,44980
1650499200000,2022-04-21 00:00:00,XTZ/USDT,3.14700000,3.23900000,2.96400000,3.03100000,3562052.90000000,11160290.44360000,46725
1650412800000,2022-04-20 00:00:00,XTZ/USDT,3.22900000,3.27200000,3.09700000,3.14700000,3585269.40000000,11403395.58730000,40543
1650326400000,2022-04-19 00:00:00,XTZ/USDT,3.17500000,3.26500000,3.12800000,3.23000000,2092615.00000000,6678371.21930000,25687
1650240000000,2022-04-18 00:00:00,XTZ/USDT,3.08300000,3.18800000,2.92700000,3.17600000,3165318.10000000,9654754.15910000,39465
1650153600000,2022-04-17 00:00:00,XTZ/USDT,3.28200000,3.29500000,3.07500000,3.08400000,1949700.90000000,6276867.75900000,27098
1650067200000,2022-04-16 00:00:00,XTZ/USDT,3.19500000,3.29500000,3.15900000,3.28200000,1692819.80000000,5471441.98170000,25845
1649980800000,2022-04-15 00:00:00,XTZ/USDT,3.09800000,3.24100000,3.09200000,3.19400000,2495686.80000000,7931145.50620000,31873
1649894400000,2022-04-14 00:00:00,XTZ/USDT,3.17800000,3.28000000,3.06600000,3.09900000,2312759.70000000,7365629.94700000,33606
1649808000000,2022-04-13 00:00:00,XTZ/USDT,3.06600000,3.20000000,3.03500000,3.17600000,1906828.70000000,5944720.35550000,25029
1649721600000,2022-04-12 00:00:00,XTZ/USDT,2.96100000,3.20000000,2.94400000,3.06600000,3448069.90000000,10667253.36850000,47874
1649635200000,2022-04-11 00:00:00,XTZ/USDT,3.12400000,3.14500000,2.94300000,2.96100000,4250732.60000000,12910407.20350000,48128
1649548800000,2022-04-10 00:00:00,XTZ/USDT,3.20500000,3.30100000,3.10800000,3.12400000,2177303.90000000,6990148.66280000,27609
1649462400000,2022-04-09 00:00:00,XTZ/USDT,3.16700000,3.20900000,3.07100000,3.20500000,3428555.20000000,10773593.71540000,42789
1649376000000,2022-04-08 00:00:00,XTZ/USDT,3.38300000,3.42400000,3.12900000,3.16900000,3811057.90000000,12560654.75430000,51965
