unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1646524800000,2022-03-06 00:00:00,ICP/USDT,17.66000000,17.78000000,16.57000000,16.62000000,1552560.07000000,26726357.05750000,70656
1646438400000,2022-03-05 00:00:00,ICP/USDT,17.62000000,17.91000000,16.81000000,17.67000000,1694014.38000000,29467802.86280000,76011
1646352000000,2022-03-04 00:00:00,ICP/USDT,19.97000000,19.99000000,17.32000000,17.61000000,2451670.15000000,45633269.95250000,114148
1646265600000,2022-03-03 00:00:00,ICP/USDT,19.31000000,20.77000000,18.86000000,19.97000000,3215167.52000000,63684993.17230000,171833
1646179200000,2022-03-02 00:00:00,ICP/USDT,19.36000000,19.84000000,18.82000000,19.31000000,2208516.66000000,42589615.03000000,109215
1646092800000,2022-03-01 00:00:00,ICP/USDT,20.13000000,20.48000000,19.07000000,19.36000000,2757349.89000000,54399417.72500000,137361
1646006400000,2022-02-28 00:00:00,ICP/USDT,17.23000000,20.22000000,16.92000000,20.13000000,2697808.89000000,49729400.57560000,121126
1645920000000,2022-02-27 00:00:00,ICP/USDT,17.73000000,18.79000000,16.86000000,17.23000000,2237182.36000000,39920650.86310000,99211
1645833600000,2022-02-26 00:00:00,ICP/USDT,17.66000000,18.25000000,17.37000000,17.74000000,1462407.54000000,26083167.81280000,61017
1645747200000,2022-02-25 00:00:00,ICP/USDT,16.60000000,17.98000000,16.34000000,17.67000000,2298309.02000000,39096760.17490000,88163
1645660800000,2022-02-24 00:00:00,ICP/USDT,17.31000000,17.49000000,14.68000000,16.60000000,5012137.89000000,79174868.56700000,185072
1645574400000,2022-02-23 00:00:00,ICP/USDT,17.91000000,18.58000000,17.11000000,17.31000000,2449889.37000000,44026506.43500000,78619
1645488000000,2022-02-22 00:00:00,ICP/USDT,17.77000000,18.18000000,16.81000000,17.92000000,2862552.87000000,50280495.51630000,117581
1645401600000,2022-02-21 00:00:00,ICP/USDT,18.71000000,19.46000000,17.66000000,17.77000000,3079630.20000000,57298043.97660000,136958
1645315200000,2022-02-20 00:00:00,ICP/USDT,19.99000000,20.04000000,18.26000000,18.70000000,2056059.55000000,38998737.37430000,83154
1645228800000,2022-02-19 00:00:00,ICP/USDT,19.62000000,20.47000000,19.15000000,20.00000000,1374776.89000000,27214345.07760000,68893
1645142400000,2022-02-18 00:00:00,ICP/USDT,19.85000000,20.39000000,19.14000000,19.62000000,1822980.24000000,36096499.08100000,85897
1645056000000,2022-02-17 00:00:00,ICP/USDT,22.06000000,22.43000000,19.55000000,19.85000000,2491602.25000000,52534172.83500000,131123
1644969600000,2022-02-16 00:00:00,ICP/USDT,21.78000000,22.54000000,20.71000000,22.08000000,2316735.87000000,49987089.52910000,118519
1644883200000,2022-02-15 00:00:00,ICP/USDT,20.73000000,21.87000000,20.57000000,21.77000000,1927989.93000000,41137173.31670000,83066
1644796800000,2022-02-14 00:00:00,ICP/USDT,19.74000000,21.28000000,19.15000000,20.73000000,2374343.85000000,48139441.18570000,95477
1644710400000,2022-02-13 00:00:00,ICP/USDT,20.06000000,20.83000000,19.50000000,19.75000000,1280652.90000000,25755884.70350000,54620
1644624000000,2022-02-12 00:00:00,ICP/USDT,19.82000000,20.56000000,19.02000000,20.04000000,1894845.88000000,37777490.86930000,79136
1644537600000,2022-02-11 00:00:00,ICP/USDT,21.58000000,22.06000000,19.35000000,19.82000000,2518576.08000000,52995837.23270000,111035
