unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1651795200000,2022-05-06 00:00:00,MKR/USDT,1378.00000000,1400.00000000,1309.00000000,1334.00000000,1900.47090000,2569275.09170000,13167
1651708800000,2022-05-05 00:00:00,MKR/USDT,1496.00000000,1514.00000000,1356.00000000,1379.00000000,2347.15350000,3338628.92800000,16125
1651622400000,2022-05-04 00:00:00,MKR/USDT,1401.00000000,1513.00000000,1395.00000000,1495.00000000,2035.32580000,2952530.00670000,12645
1651536000000,2022-05-03 00:00:00,MKR/USDT,1487.00000000,1511.00000000,1388.00000000,1401.00000000,1882.88720000,2734251.16080000,13876
1651449600000,2022-05-02 00:00:00,MKR/USDT,1450.00000000,1501.00000000,1410.00000000,1486.00000000,1758.12550000,2553685.03540000,14532
1651363200000,2022-05-01 00:00:00,MKR/USDT,1458.00000000,1521.00000000,1405.00000000,1450.00000000,1879.93390000,2743874.47020000,15289
1651276800000,2022-04-30 00:00:00,MKR/USDT,1559.00000000,1589.00000000,1378.00000000,1457.00000000,2072.95380000,3091609.79982000,17815
1651190400000,2022-04-29 00:00:00,MKR/USDT,1642.00000000,1658.00000000,1510.00000000,1559.00000000,2580.17810000,4057146.95830000,17686
1651104000000,2022-04-28 00:00:00,MKR/USDT,1671.00000000,1697.00000000,1603.00000000,1642.00000000,1868.53000000,3063232.40470000,14921
1651017600000,2022-04-27 00:00:00,MKR/USDT,1624.00000000,1688.00000000,1599.00000000,1672.00000000,1475.28290000,2428870.46050000,13189
1650931200000,2022-04-26 00:00:00,MKR/USDT,1754.00000000,1804.00000000,1611.00000000,1622.00000000,2210.67960000,3776743.25020000,17033
1650844800000,2022-04-25 00:00:00,MKR/USDT,1730.00000000,1800.00000000,1653.00000000,1754.00000000,1697.82520000,2934296.19310000,16747
1650758400000,2022-04-24 00:00:00,MKR/USDT,1718.00000000,1787.00000000,1716.00000000,1731.00000000,1087.38740000,1906911.81070000,10297
1650672000000,2022-04-23 00:00:00,MKR/USDT,1728.00000000,1786.00000000,1713.00000000,1719.00000000,919.03520000,1614328.69830000,10050
1650585600000,2022-04-22 00:00:00,MKR/USDT,1723.00000000,1823.00000000,1714.00000000,1728.00000000,1473.74680000,2593846.49050000,12014
1650499200000,2022-04-21 00:00:00,MKR/USDT,1806.00000000,1877.00000000,1694.00000000,1725.00000000,2260.97740000,4077299.60660000,14203
1650412800000,2022-04-20 00:00:00,MKR/USDT,1855.00000000,1916.00000000,1777.00000000,1808.00000000,2045.81610000,3767118.27910000,14772
1650326400000,2022-04-19 00:00:00,MKR/USDT,1819.00000000,1879.00000000,1814.00000000,1857.00000000,2026.71860000,3743389.59730000,12782
1650240000000,2022-04-18 00:00:00,MKR/USDT,1789.00000000,1823.00000000,1685.00000000,1818.00000000,1892.61570000,3314450.35840000,14623
1650153600000,2022-04-17 00:00:00,MKR/USDT,1889.00000000,1925.00000000,1786.00000000,1792.00000000,2095.80720000,3867284.12750000,16320
1650067200000,2022-04-16 00:00:00,MKR/USDT,1948.00000000,1948.00000000,1869.00000000,1887.00000000,1060.40120000,2018829.16160000,10018
1649980800000,2022-04-15 00:00:00,MKR/USDT,1902.00000000,2005.00000000,1900.00000000,1947.00000000,1785.93220000,3489469.81430000,14403
1649894400000,2022-04-14 00:00:00,MKR/USDT,1933.00000000,1978.00000000,1854.00000000,1902.00000000,2953.49840000,5667215.34580000,20842
1649808000000,2022-04-13 00:00:00,MKR/USDT,1852.00000000,1960.00000000,1797.00000000,1935.00000000,2454.57840000,4637246.42400000,14984
1649721600000,2022-04-12 00:00:00,MKR/USDT,1816.00000000,1915.00000000,1800.00000000,1852.00000000,1354.00390000,2523954.87200000,12621
1649635200000,2022-04-11 00:00:00,MKR/USDT,2015.00000000,2035.00000000,1797.00000000,1815.00000000,1772.45210000,3419996.73570000,13166
1649548800000,2022-04-10 00:00:00,MKR/USDT,2093.00000000,2101.00000000,2009.00000000,2013.00000000,1042.92770000,2147541.11720000,8980
1649462400000,2022-04-09 00:00:00,MKR/USDT,2033.00000000,2094.00000000,2020.00000000,2093.00000000,607.13480000,1248036.13170000,6230
1649376000000,2022-04-08 00:00:00,MKR/USDT,2054.00000000,2132.00000000,2011.00000000,2035.00000000,2258.35460000,4678988.71470000,16347
1649289600000,2022-04-07 00:00:00,MKR/USDT,2042.00000000,2086.00000000,2003.00000000,2054.00000000,1538.13780000,3142784.36880000,12921
1649203200000,2022-04-06 00:00:00,MKR/USDT,2301.00000000,2302.00000000,2041.00000000,2042.00000000,2440.44630000,5325709.22870000,21234
1649116800000,2022-04-05 00:00:00,MKR/USDT,2440.00000000,2511.00000000,2285.00000000,2303.00000000,3696.76250000,8944560.67600000,28656
1649030400000,2022-04-04 00:00:00,MKR/USDT,2281.00000000,2444.00000000,2228.00000000,2439.00000000,4763.44340000,11161183.90240000,36356
1648944000000,2022-04-03 00:00:00,MKR/USDT,2228.00000000,2340.00000000,2190.00000000,2278.00000000,2729.54090000,6210547.13350000,22209
1648857600000,2022-04-02 00:00:00,MKR/USDT,2273.00000000,2352.00000000,2214.00000000,2228.00000000,4417.42510000,10104737.94030000,27324
1648771200000,2022-04-01 00:00:00,MKR/USDT,2095.00000000,2343.00000000,2013.00000000,2274.00000000,3990.87700000,8816174.21630000,30525
1648684800000,2022-03-31 00:00:00,MKR/USDT,2178.00000000,2233.00000000,2025.00000000,2094.00000000,3170.65130000,6745667.44370000,24394
1648598400000,2022-03-30 00:00:00,MKR/USDT,2127.00000000,2293.00000000,2063.00000000,2177.00000000,3966.05040000,8724003.98450000,29909
1648512000000,2022-03-29 00:00:00,MKR/USDT,2038.00000000,2223.00000000,2036.00000000,2126.00000000,3482.39810000,7456736.72930000,24644
1648425600000,2022-03-28 00:00:00,MKR/USDT,2058.00000000,2195.00000000,2030.00000000,2038.00000000,2793.22900000,5920738.58570000,21631
1648339200000,2022-03-27 00:00:00,MKR/USDT,2016.00000000,2064.00000000,1965.00000000,2059.00000000,1661.88710000,3348975.34930000,13637
1648252800000,2022-03-26 00:00:00,MKR/USDT,2007.00000000,2022.00000000,1975.00000000,2016.00000000,688.97420000,1379272.20030000,5630
1648166400000,2022-03-25 00:00:00,MKR/USDT,2008.00000000,2063.00000000,1937.00000000,2008.00000000,1669.73240000,3344917.38790000,13746
1648080000000,2022-03-24 00:00:00,MKR/USDT,1989.00000000,2062.00000000,1975.00000000,2009.00000000,4720.45030000,9494576.13440000,28152
1647993600000,2022-03-23 00:00:00,MKR/USDT,2037.00000000,2049.00000000,1949.00000000,1989.00000000,3778.28200000,7485556.74440000,21392
1647907200000,2022-03-22 00:00:00,MKR/USDT,1999.00000000,2113.00000000,1994.00000000,2036.00000000,2031.65120000,4164121.53120000,16920
1647820800000,2022-03-21 00:00:00,MKR/USDT,1994.00000000,2044.00000000,1960.00000000,1999.00000000,2002.13950000,4010577.06280000,15237
1647734400000,2022-03-20 00:00:00,MKR/USDT,2059.00000000,2119.00000000,1973.00000000,1993.00000000,1959.83040000,4018635.66580000,17196
1647648000000,2022-03-19 00:00:00,MKR/USDT,2034.00000000,2099.00000000,2031.00000000,2060.00000000,2613.02300000,5388713.24590000,19673
1647561600000,2022-03-18 00:00:00,MKR/USDT,2060.00000000,2100.00000000,2030.00000000,2035.00000000,3295.35250000,6803316.37590000,23419
1647475200000,2022-03-17 00:00:00,MKR/USDT,1925.00000000,2095.00000000,1922.00000000,2060.00000000,3995.63630000,8109426.76420000,28084
1647388800000,2022-03-16 00:00:00,MKR/USDT,1785.00000000,2015.00000000,1738.00000000,1925.00000000,4802.05570000,9056033.20320000,31680
1647302400000,2022-03-15 00:00:00,MKR/USDT,1795.00000000,1863.00000000,1720.00000000,1785.00000000,1559.93500000,2794830.31580000,16685
1647216000000,2022-03-14 00:00:00,MKR/USDT,1686.00000000,1798.00000000,1672.00000000,1795.00000000,1238.40540000,2154766.36360000,12746
1647129600000,2022-03-13 00:00:00,MKR/USDT,1739.00000000,1784.00000000,1673.00000000,1688.00000000,850.29630000,1474246.96270000,9199
1647043200000,2022-03-12 00:00:00,MKR/USDT,1749.00000000,1798.00000000,1738.00000000,1739.00000000,818.65310000,1446820.06600000,8217
1646956800000,2022-03-11 00:00:00,MKR/USDT,1770.00000000,1797.00000000,1702.00000000,1749.00000000,1890.52340000,3285954.67070000,14379
1646870400000,2022-03-10 00:00:00,MKR/USDT,1901.00000000,1918.00000000,1760.00000000,1769.00000000,2762.37660000,5033046.89400000,19223
