unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1652400000000,2022-05-13 00:00:00,XMR/USDT,137.70000000,155.80000000,135.30000000,144.10000000,146483.00000000,21646004.14260000,78147
1652313600000,2022-05-12 00:00:00,XMR/USDT,140.70000000,157.00000000,119.00000000,137.80000000,315846.02813000,42473796.54338420,158683
1652227200000,2022-05-11 00:00:00,XMR/USDT,162.90000000,180.00000000,137.80000000,140.80000000,335681.77200000,53030249.97920000,198178
1652140800000,2022-05-10 00:00:00,XMR/USDT,173.40000000,189.60000000,150.70000000,163.00000000,261661.92600000,45577108.88600000,143005
1652054400000,2022-05-09 00:00:00,XMR/USDT,217.10000000,221.00000000,172.10000000,173.50000000,243673.99400000,48294184.19510000,149249
1651968000000,2022-05-08 00:00:00,XMR/USDT,205.00000000,222.30000000,199.70000000,217.00000000,213132.12200000,45086563.71750000,101059
1651881600000,2022-05-07 00:00:00,XMR/USDT,218.90000000,223.60000000,199.00000000,204.90000000,123410.64300000,26424408.27660000,74989
1651795200000,2022-05-06 00:00:00,XMR/USDT,206.50000000,219.00000000,200.20000000,218.80000000,131606.70100000,27393535.81180000,77584
1651708800000,2022-05-05 00:00:00,XMR/USDT,225.30000000,229.80000000,197.30000000,206.60000000,149383.58700000,31959510.96030000,87116
1651622400000,2022-05-04 00:00:00,XMR/USDT,207.20000000,225.80000000,206.10000000,225.30000000,129304.54800000,27789926.47170000,75221
1651536000000,2022-05-03 00:00:00,XMR/USDT,199.50000000,216.10000000,198.70000000,207.20000000,145612.84000000,30230869.21720000,94049
1651449600000,2022-05-02 00:00:00,XMR/USDT,212.00000000,216.60000000,196.10000000,199.60000000,156613.91400000,32322872.31830000,94533
1651363200000,2022-05-01 00:00:00,XMR/USDT,214.10000000,228.20000000,208.20000000,211.90000000,138441.09300000,29998073.91330000,82072
1651276800000,2022-04-30 00:00:00,XMR/USDT,220.50000000,234.20000000,212.00000000,214.10000000,144669.60000000,32568383.14660000,82452
1651190400000,2022-04-29 00:00:00,XMR/USDT,227.40000000,236.20000000,216.70000000,220.50000000,127117.22200000,28971939.18830000,81085
1651104000000,2022-04-28 00:00:00,XMR/USDT,229.50000000,238.00000000,223.50000000,227.50000000,110074.48600000,25415507.07270000,68586
1651017600000,2022-04-27 00:00:00,XMR/USDT,230.00000000,236.20000000,221.50000000,229.40000000,130224.80100000,29713630.05940000,79426
1650931200000,2022-04-26 00:00:00,XMR/USDT,254.20000000,264.60000000,227.10000000,230.00000000,151914.87700000,37884206.93750000,100333
1650844800000,2022-04-25 00:00:00,XMR/USDT,252.60000000,260.00000000,237.10000000,254.30000000,140622.17600000,34721237.62560000,95744
1650758400000,2022-04-24 00:00:00,XMR/USDT,266.60000000,269.20000000,247.50000000,252.70000000,109215.15000000,28119151.44520000,75933
1650672000000,2022-04-23 00:00:00,XMR/USDT,268.30000000,279.10000000,262.50000000,266.60000000,95025.01800000,25793704.24410000,68133
1650585600000,2022-04-22 00:00:00,XMR/USDT,278.50000000,289.50000000,261.10000000,268.50000000,169658.78200000,46520314.21080000,125889
1650499200000,2022-04-21 00:00:00,XMR/USDT,267.00000000,289.50000000,266.10000000,278.50000000,255302.85600000,71047686.14820000,214437
1650412800000,2022-04-20 00:00:00,XMR/USDT,253.90000000,271.80000000,251.00000000,267.00000000,183808.75400000,48086349.14070000,124458
