unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,tradecount
1654732800000,2022-06-09 00:00:00,SHIB/USDT,0.00001059,0.00001077,0.00001042,0.00001057,2196288059439.00,23313044.49041535,63693
1654646400000,2022-06-08 00:00:00,SHIB/USDT,0.00001072,0.00001092,0.00001052,0.00001058,2691454914592.00,28754599.54196315,76151
1654560000000,2022-06-07 00:00:00,SHIB/USDT,0.00001106,0.00001120,0.00001020,0.00001073,4871592344545.00,52011049.78508308,128509
1654473600000,2022-06-06 00:00:00,SHIB/USDT,0.00001082,0.00001141,0.00001078,0.00001105,3674078167539.00,40793705.29804157,103007
1654387200000,2022-06-05 00:00:00,SHIB/USDT,0.00001089,0.00001098,0.00001068,0.00001081,1688141676223.00,18256335.15657260,54918
1654300800000,2022-06-04 00:00:00,SHIB/USDT,0.00001081,0.00001093,0.00001056,0.00001088,1766067063441.00,19047273.44176529,60116
1654214400000,2022-06-03 00:00:00,SHIB/USDT,0.00001121,0.00001125,0.00001053,0.00001080,3376168372526.00,36434704.68302791,107136
1654128000000,2022-06-02 00:00:00,SHIB/USDT,0.00001090,0.00001131,0.00001072,0.00001121,3195335268053.00,35135088.84077639,86225
1654041600000,2022-06-01 00:00:00,SHIB/USDT,0.00001174,0.00001192,0.00001052,0.00001089,5513296709607.00,62634653.58610109,146854
1653955200000,2022-05-31 00:00:00,SHIB/USDT,0.00001218,0.00001233,0.00001148,0.00001173,5504395795307.00,65298167.31990048,149806
1653868800000,2022-05-30 00:00:00,SHIB/USDT,0.00001150,0.00001248,0.00001129,0.00001217,8962213641722.00,106661280.76650757,208001
1653782400000,2022-05-29 00:00:00,SHIB/USDT,0.00001078,0.00001185,0.00001055,0.00001149,7122079062925.00,80567167.57382190,154520
1653696000000,2022-05-28 00:00:00,SHIB/USDT,0.00001047,0.00001088,0.00001041,0.00001077,2946104638823.00,31458371.72338893,79309
1653609600000,2022-05-27 00:00:00,SHIB/USDT,0.00001059,0.00001087,0.00001012,0.00001048,6949305599762.00,72895535.05005302,154478
1653523200000,2022-05-26 00:00:00,SHIB/USDT,0.00001161,0.00001171,0.00001030,0.00001059,9155914522358.00,100623102.08167998,179239
1653436800000,2022-05-25 00:00:00,SHIB/USDT,0.00001175,0.00001193,0.00001150,0.00001160,4485917046892.00,52309003.99280019,98543
1653350400000,2022-05-24 00:00:00,SHIB/USDT,0.00001168,0.00001196,0.00001125,0.00001175,5227309737575.00,60967968.39006090,111740
1653264000000,2022-05-23 00:00:00,SHIB/USDT,0.00001190,0.00001297,0.00001148,0.00001168,7514228245268.00,91908510.06152535,188068
1653177600000,2022-05-22 00:00:00,SHIB/USDT,0.00001175,0.00001207,0.00001163,0.00001190,3563054430368.00,42303135.22470001,97995
1653091200000,2022-05-21 00:00:00,SHIB/USDT,0.00001160,0.00001205,0.00001133,0.00001175,3010058371304.00,35147477.62001602,84250
1653004800000,2022-05-20 00:00:00,SHIB/USDT,0.00001183,0.00001204,0.00001130,0.00001160,4296890371714.00,50292296.24307759,113990
1652918400000,2022-05-19 00:00:00,SHIB/USDT,0.00001152,0.00001213,0.00001121,0.00001182,5407306055733.00,63187365.07158920,158033
1652832000000,2022-05-18 00:00:00,SHIB/USDT,0.00001254,0.00001267,0.00001145,0.00001152,5820343474790.00,70044781.31572653,148861
1652745600000,2022-05-17 00:00:00,SHIB/USDT,0.00001199,0.00001278,0.00001195,0.00001255,8114909810163.00,100306569.40050562,191517
1652659200000,2022-05-16 00:00:00,SHIB/USDT,0.00001305,0.00001306,0.00001174,0.00001199,7272801360235.00,88683175.16633129,185749
1652572800000,2022-05-15 00:00:00,SHIB/USDT,0.00001256,0.00001306,0.00001192,0.00001306,6988198346820.00,86865330.61975235,183563
1652486400000,2022-05-14 00:00:00,SHIB/USDT,0.00001281,0.00001372,0.00001140,0.00001255,13468466918956.00,165356885.91991605,348194
1652400000000,2022-05-13 00:00:00,SHIB/USDT,0.00001084,0.00001437,0.00001048,0.00001282,26669244048317.00,347071828.72897524,680145
1652313600000,2022-05-12 00:00:00,SHIB/USDT,0.00001205,0.00001296,0.00000907,0.00001084,26780506125377.00,292335703.43518004,714975
1652227200000,2022-05-11 00:00:00,SHIB/USDT,0.00001618,0.00001677,0.00001100,0.00001207,27918355370022.00,393156124.53899557,786431
