unix,date,symbol,open,high,low,close,Volume ZIL,Volume USDT,tradecount
1653436800000,2022-05-25 00:00:00,ZIL/USDT,0.05254000,0.05298000,0.04974000,0.05124000,436339404.10000000,22350840.58190800,77520
1653350400000,2022-05-24 00:00:00,ZIL/USDT,0.05290000,0.05393000,0.04883000,0.05252000,717943903.60000000,37023740.39964600,131204
1653264000000,2022-05-23 00:00:00,ZIL/USDT,0.05785000,0.05838000,0.05132000,0.05292000,998099364.10000000,55749018.02579200,240889
1653177600000,2022-05-22 00:00:00,ZIL/USDT,0.05169000,0.06276000,0.05108000,0.05786000,1541702906.00000000,89151813.54144300,360833
1653091200000,2022-05-21 00:00:00,ZIL/USDT,0.05062000,0.05327000,0.04911000,0.05170000,531963128.50000000,27190914.38370000,130314
1653004800000,2022-05-20 00:00:00,ZIL/USDT,0.05055000,0.05394000,0.04857000,0.05061000,1007953785.10000000,51851260.06790600,231964
1652918400000,2022-05-19 00:00:00,ZIL/USDT,0.04805000,0.05103000,0.04595000,0.05055000,655796895.30000000,31926557.48936200,147591
1652832000000,2022-05-18 00:00:00,ZIL/USDT,0.05300000,0.05544000,0.04751000,0.04803000,965254610.20000000,49841962.19813000,207495
1652745600000,2022-05-17 00:00:00,ZIL/USDT,0.05029000,0.05388000,0.04950000,0.05302000,962341943.10000000,50024033.94799100,181421
1652659200000,2022-05-16 00:00:00,ZIL/USDT,0.05491000,0.05493000,0.04878000,0.05027000,1112088634.40000000,56284216.33786400,189371
1652572800000,2022-05-15 00:00:00,ZIL/USDT,0.05277000,0.05509000,0.04867000,0.05491000,959262271.50000000,49538257.26795100,191130
1652486400000,2022-05-14 00:00:00,ZIL/USDT,0.05025000,0.05479000,0.04594000,0.05276000,1232474779.70000000,61887712.99448300,234935
1652400000000,2022-05-13 00:00:00,ZIL/USDT,0.04542000,0.05686000,0.04430000,0.05026000,1588876027.40000000,83070600.04280000,269272
1652313600000,2022-05-12 00:00:00,ZIL/USDT,0.05352000,0.05600000,0.03999000,0.04539000,2133093521.10000000,98404144.02276700,304470
1652227200000,2022-05-11 00:00:00,ZIL/USDT,0.06878000,0.07184000,0.04876000,0.05366000,2889506653.80000000,173747434.13569500,549359
1652140800000,2022-05-10 00:00:00,ZIL/USDT,0.06248000,0.07721000,0.06018000,0.06890000,2236439835.80000000,154551739.58399100,481709
1652054400000,2022-05-09 00:00:00,ZIL/USDT,0.07721000,0.08036000,0.06200000,0.06247000,1773379073.40000000,124774028.02144300,382858
1651968000000,2022-05-08 00:00:00,ZIL/USDT,0.07622000,0.08041000,0.07342000,0.07718000,1133303336.50000000,86796933.71459900,261428
1651881600000,2022-05-07 00:00:00,ZIL/USDT,0.08152000,0.08454000,0.07422000,0.07624000,1345340520.70000000,106695663.79917000,361050
1651795200000,2022-05-06 00:00:00,ZIL/USDT,0.07852000,0.08583000,0.07100000,0.08151000,2082096210.40000000,160941051.63469000,464993
1651708800000,2022-05-05 00:00:00,ZIL/USDT,0.09400000,0.09855000,0.07600000,0.07855000,3783681215.50000000,330109311.54566600,888647
1651622400000,2022-05-04 00:00:00,ZIL/USDT,0.06796000,0.09500000,0.06735000,0.09400000,2169388777.60000000,174586385.03466300,533310
1651536000000,2022-05-03 00:00:00,ZIL/USDT,0.07008000,0.07334000,0.06663000,0.06795000,589376408.30000000,41216167.16283600,131080
1651449600000,2022-05-02 00:00:00,ZIL/USDT,0.07323000,0.07513000,0.06713000,0.07006000,603404365.30000000,42850549.58532700,145278
1651363200000,2022-05-01 00:00:00,ZIL/USDT,0.07200000,0.07468000,0.06863000,0.07322000,1070475388.80000000,76892007.94853700,221830
1651276800000,2022-04-30 00:00:00,ZIL/USDT,0.08364000,0.08810000,0.06892000,0.07201000,1147128412.80000000,92230967.67726800,262022
1651190400000,2022-04-29 00:00:00,ZIL/USDT,0.09110000,0.09286000,0.08179000,0.08367000,654576701.60000000,56448848.50719300,172041
1651104000000,2022-04-28 00:00:00,ZIL/USDT,0.09409000,0.09640000,0.08920000,0.09107000,670640012.50000000,62095772.23922500,180487
1651017600000,2022-04-27 00:00:00,ZIL/USDT,0.09234000,0.09724000,0.09040000,0.09408000,593207570.80000000,55923673.00720600,173077
1650931200000,2022-04-26 00:00:00,ZIL/USDT,0.10347000,0.10594000,0.09001000,0.09235000,835229618.20000000,82008670.65648300,242843
1650844800000,2022-04-25 00:00:00,ZIL/USDT,0.10643000,0.10663000,0.09552000,0.10348000,920610092.30000000,92293312.88297800,254163
1650758400000,2022-04-24 00:00:00,ZIL/USDT,0.11055000,0.11426000,0.10454000,0.10640000,576481984.30000000,63040367.60173000,183378
1650672000000,2022-04-23 00:00:00,ZIL/USDT,0.11267000,0.11326000,0.10764000,0.11054000,531050815.10000000,58723046.50165700,170838
1650585600000,2022-04-22 00:00:00,ZIL/USDT,0.11551000,0.11890000,0.11024000,0.11267000,815882674.20000000,93229070.31399800,238055
1650499200000,2022-04-21 00:00:00,ZIL/USDT,0.12615000,0.13540000,0.11221000,0.11551000,2291305342.30000000,289672596.60377600,686371
1650412800000,2022-04-20 00:00:00,ZIL/USDT,0.11170000,0.12940000,0.10940000,0.12614000,2384171031.70000000,286713513.73992800,686518
1650326400000,2022-04-19 00:00:00,ZIL/USDT,0.10763000,0.11500000,0.10750000,0.11170000,1141144820.10000000,126719815.92436900,334878
1650240000000,2022-04-18 00:00:00,ZIL/USDT,0.10941000,0.10991000,0.10081000,0.10764000,843353903.60000000,88606859.69843200,269613
1650153600000,2022-04-17 00:00:00,ZIL/USDT,0.11034000,0.11680000,0.10869000,0.10941000,803623880.50000000,91076650.72757300,247989
