unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1651190400000,2022-04-29 00:00:00,XLM/USDT,0.18590000,0.18810000,0.17600000,0.17780000,55243762.00000000,10068166.97710000,36458
1651104000000,2022-04-28 00:00:00,XLM/USDT,0.18430000,0.18880000,0.18260000,0.18580000,56954274.00000000,10593323.33150000,34532
1651017600000,2022-04-27 00:00:00,XLM/USDT,0.18040000,0.18690000,0.17960000,0.18420000,56384837.00000000,10365125.31940000,33719
1650931200000,2022-04-26 00:00:00,XLM/USDT,0.19210000,0.19270000,0.17760000,0.18050000,63889238.00000000,11871580.23310000,41173
1650844800000,2022-04-25 00:00:00,XLM/USDT,0.18950000,0.19350000,0.17880000,0.19220000,77383192.00000000,14316607.13330000,49651
1650758400000,2022-04-24 00:00:00,XLM/USDT,0.19140000,0.19400000,0.18900000,0.18960000,38041294.00000000,7278650.11160000,24629
1650672000000,2022-04-23 00:00:00,XLM/USDT,0.19540000,0.19750000,0.19060000,0.19140000,46065661.00000000,8923942.09880000,28232
1650585600000,2022-04-22 00:00:00,XLM/USDT,0.19650000,0.19830000,0.19380000,0.19530000,67355017.00000000,13214492.84120000,39384
1650499200000,2022-04-21 00:00:00,XLM/USDT,0.20030000,0.20420000,0.19340000,0.19660000,100284874.00000000,20087444.87630000,53605
1650412800000,2022-04-20 00:00:00,XLM/USDT,0.20380000,0.21370000,0.19940000,0.20020000,96206711.00000000,19578171.58320000,57239
1650326400000,2022-04-19 00:00:00,XLM/USDT,0.20500000,0.20600000,0.20010000,0.20390000,60862730.00000000,12382991.40680000,37729
1650240000000,2022-04-18 00:00:00,XLM/USDT,0.19650000,0.20640000,0.18940000,0.20490000,73292004.00000000,14447926.34700000,50991
1650153600000,2022-04-17 00:00:00,XLM/USDT,0.20530000,0.20700000,0.19620000,0.19650000,44794179.00000000,9096987.74000000,29600
1650067200000,2022-04-16 00:00:00,XLM/USDT,0.20420000,0.20780000,0.20190000,0.20530000,44959833.00000000,9223288.47180000,32641
1649980800000,2022-04-15 00:00:00,XLM/USDT,0.19380000,0.21210000,0.19260000,0.20420000,136169029.00000000,27874979.26060000,77560
1649894400000,2022-04-14 00:00:00,XLM/USDT,0.19660000,0.19980000,0.19150000,0.19390000,46923874.00000000,9188509.95830000,35347
