unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1649980800000,2022-04-15 00:00:00,EOS/USDT,2.30800000,2.44300000,2.29100000,2.41900000,15439108.20000000,36707795.64230000,83456
1649894400000,2022-04-14 00:00:00,EOS/USDT,2.35900000,2.37100000,2.24000000,2.30700000,12333113.40000000,28471480.58880000,63346
1649808000000,2022-04-13 00:00:00,EOS/USDT,2.24400000,2.36200000,2.20800000,2.35900000,12939443.10000000,29536174.57490000,75901
1649721600000,2022-04-12 00:00:00,EOS/USDT,2.16300000,2.25100000,2.15400000,2.24400000,13046905.10000000,28779152.24120000,66512
1649635200000,2022-04-11 00:00:00,EOS/USDT,2.36200000,2.38100000,2.11800000,2.16300000,17785672.60000000,39814571.33330000,98958
1649548800000,2022-04-10 00:00:00,EOS/USDT,2.41700000,2.48300000,2.35600000,2.36100000,10022726.70000000,24151304.52320000,53868
1649462400000,2022-04-09 00:00:00,EOS/USDT,2.38000000,2.44400000,2.36000000,2.41700000,9704040.40000000,23347798.42130000,50870
1649376000000,2022-04-08 00:00:00,EOS/USDT,2.50200000,2.52300000,2.34500000,2.38000000,18132433.00000000,44146941.04640000,99174
1649289600000,2022-04-07 00:00:00,EOS/USDT,2.42600000,2.69500000,2.39100000,2.50300000,15528638.30000000,38328898.83590000,87728
1649203200000,2022-04-06 00:00:00,EOS/USDT,2.75300000,2.76300000,2.41400000,2.42600000,22885346.40000000,59650346.81730000,159600
1649116800000,2022-04-05 00:00:00,EOS/USDT,2.89100000,2.91200000,2.73600000,2.75300000,14925402.80000000,42251783.79850000,96463
1649030400000,2022-04-04 00:00:00,EOS/USDT,2.84100000,2.94300000,2.71300000,2.89000000,28508692.60000000,80903994.01350000,215538
1648944000000,2022-04-03 00:00:00,EOS/USDT,2.78600000,2.86500000,2.72300000,2.84000000,11000654.60000000,30810731.37760000,73883
1648857600000,2022-04-02 00:00:00,EOS/USDT,2.83800000,2.93700000,2.76300000,2.78600000,14640884.80000000,41816609.87940000,107168
1648771200000,2022-04-01 00:00:00,EOS/USDT,2.82600000,2.86800000,2.65800000,2.83800000,21506158.90000000,59517116.80600000,151812
1648684800000,2022-03-31 00:00:00,EOS/USDT,2.93600000,3.02000000,2.75000000,2.82600000,23573436.20000000,68051463.22000000,176610
1648598400000,2022-03-30 00:00:00,EOS/USDT,2.89400000,3.06300000,2.80300000,2.93800000,22113534.60000000,64945422.75050000,184136
1648512000000,2022-03-29 00:00:00,EOS/USDT,2.86000000,2.97100000,2.76800000,2.89400000,27252741.10000000,78636956.61890000,185787
1648425600000,2022-03-28 00:00:00,EOS/USDT,2.66900000,3.22000000,2.64400000,2.86000000,74676902.50000000,222044570.98080000,607702
1648339200000,2022-03-27 00:00:00,EOS/USDT,2.51300000,2.67400000,2.48500000,2.67000000,14519362.10000000,37223117.40440000,114424
1648252800000,2022-03-26 00:00:00,EOS/USDT,2.50400000,2.51700000,2.46100000,2.51300000,7802399.40000000,19443089.82210000,45722
1648166400000,2022-03-25 00:00:00,EOS/USDT,2.54100000,2.57800000,2.42600000,2.50400000,17140381.00000000,43133991.60420000,115238
1648080000000,2022-03-24 00:00:00,EOS/USDT,2.50000000,2.62900000,2.43600000,2.54100000,16739063.30000000,42044247.67040000,116036
1647993600000,2022-03-23 00:00:00,EOS/USDT,2.55000000,2.58700000,2.43900000,2.50000000,23245977.10000000,58025920.97600000,114118
1647907200000,2022-03-22 00:00:00,EOS/USDT,2.34800000,2.57500000,2.34700000,2.55000000,42909399.90000000,105696328.07860000,208988
1647820800000,2022-03-21 00:00:00,EOS/USDT,2.21500000,2.44500000,2.14600000,2.34800000,27916596.80000000,64613108.80460000,145289
1647734400000,2022-03-20 00:00:00,EOS/USDT,2.21700000,2.27700000,2.15200000,2.21400000,13099063.20000000,28919186.87260000,71481
1647648000000,2022-03-19 00:00:00,EOS/USDT,2.12800000,2.22500000,2.12800000,2.21700000,9950960.40000000,21566602.33980000,52976
1647561600000,2022-03-18 00:00:00,EOS/USDT,2.08600000,2.14500000,2.05100000,2.12800000,7737421.40000000,16171508.63870000,40433
1647475200000,2022-03-17 00:00:00,EOS/USDT,2.08500000,2.09600000,2.05100000,2.08500000,7535796.40000000,15650470.19120000,36236
1647388800000,2022-03-16 00:00:00,EOS/USDT,1.98600000,2.09400000,1.97500000,2.08400000,13815204.10000000,28022602.62060000,74679
1647302400000,2022-03-15 00:00:00,EOS/USDT,1.96800000,2.00900000,1.91600000,1.98600000,7717510.60000000,15138218.73760000,36569
1647216000000,2022-03-14 00:00:00,EOS/USDT,1.90600000,1.97600000,1.88300000,1.96800000,11128207.70000000,21588391.54540000,45998
1647129600000,2022-03-13 00:00:00,EOS/USDT,1.96900000,2.00700000,1.88900000,1.90600000,8741777.40000000,17130311.76150000,37647
1647043200000,2022-03-12 00:00:00,EOS/USDT,1.97400000,2.00900000,1.96500000,1.96800000,6474608.90000000,12870106.36580000,28261
1646956800000,2022-03-11 00:00:00,EOS/USDT,1.98400000,2.01700000,1.92200000,1.97400000,12299975.80000000,24216136.53080000,56414
1646870400000,2022-03-10 00:00:00,EOS/USDT,2.06600000,2.10100000,1.93300000,1.98300000,14361304.30000000,28644843.34600000,63625
1646784000000,2022-03-09 00:00:00,EOS/USDT,1.97100000,2.08000000,1.97000000,2.06600000,12617745.20000000,25875690.56180000,50810
1646697600000,2022-03-08 00:00:00,EOS/USDT,1.92000000,1.99400000,1.91100000,1.97100000,12435404.70000000,24429742.77330000,50228
1646611200000,2022-03-07 00:00:00,EOS/USDT,1.96100000,2.02000000,1.87000000,1.92000000,14384467.10000000,28041540.04950000,62886
1646524800000,2022-03-06 00:00:00,EOS/USDT,2.04300000,2.05800000,1.94600000,1.96200000,7923436.00000000,15891576.94980000,40190
1646438400000,2022-03-05 00:00:00,EOS/USDT,2.00300000,2.05300000,1.96200000,2.04400000,7267347.60000000,14607094.59880000,35678
1646352000000,2022-03-04 00:00:00,EOS/USDT,2.15600000,2.16600000,1.97300000,2.00300000,15281199.30000000,31641589.63760000,70812
1646265600000,2022-03-03 00:00:00,EOS/USDT,2.21300000,2.22300000,2.12200000,2.15500000,10018982.00000000,21818349.05950000,51087
1646179200000,2022-03-02 00:00:00,EOS/USDT,2.26600000,2.28500000,2.17900000,2.21300000,15152883.50000000,33776444.36680000,75179
1646092800000,2022-03-01 00:00:00,EOS/USDT,2.28200000,2.31300000,2.20800000,2.26500000,16154015.10000000,36520584.45540000,88808
1646006400000,2022-02-28 00:00:00,EOS/USDT,2.09100000,2.28300000,2.06000000,2.28200000,22646018.20000000,48698845.53570000,111970
1645920000000,2022-02-27 00:00:00,EOS/USDT,2.16300000,2.24900000,2.05700000,2.09200000,18943985.30000000,40898662.11130000,95726
1645833600000,2022-02-26 00:00:00,EOS/USDT,2.14800000,2.30000000,2.13400000,2.16300000,11571747.20000000,25219090.54230000,63665
