unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1652486400000,2022-05-14 00:00:00,BAT/USDT,0.38430000,0.42190000,0.36830000,0.41850000,18640063.00000000,7377976.79270000,54219
1652400000000,2022-05-13 00:00:00,BAT/USDT,0.35810000,0.42830000,0.35200000,0.38430000,26336979.00000000,10538688.43650000,67912
1652313600000,2022-05-12 00:00:00,BAT/USDT,0.37540000,0.39340000,0.30600000,0.35750000,53295215.99000000,18472043.98842600,95679
1652227200000,2022-05-11 00:00:00,BAT/USDT,0.46690000,0.48580000,0.34320000,0.37540000,51290234.89000000,21820482.49119500,131332
1652140800000,2022-05-10 00:00:00,BAT/USDT,0.44030000,0.50990000,0.42830000,0.46650000,32942372.30000000,15559937.84476000,90738
1652054400000,2022-05-09 00:00:00,BAT/USDT,0.54650000,0.55640000,0.43820000,0.44060000,27965752.02000000,13618262.78902300,71245
1651968000000,2022-05-08 00:00:00,BAT/USDT,0.55440000,0.56030000,0.53190000,0.54660000,13343711.00000000,7276297.72650000,40996
1651881600000,2022-05-07 00:00:00,BAT/USDT,0.57900000,0.59780000,0.53660000,0.55460000,12472447.26000000,7071772.03235100,36613
1651795200000,2022-05-06 00:00:00,BAT/USDT,0.58690000,0.58890000,0.55570000,0.57920000,11958840.00000000,6858815.51740000,40084
1651708800000,2022-05-05 00:00:00,BAT/USDT,0.65480000,0.66380000,0.56690000,0.58700000,17919990.00000000,10957806.24260000,57019
1651622400000,2022-05-04 00:00:00,BAT/USDT,0.57960000,0.67030000,0.57580000,0.65480000,20532704.00000000,12695894.21530000,63258
1651536000000,2022-05-03 00:00:00,BAT/USDT,0.58600000,0.60760000,0.56590000,0.57970000,8746251.00000000,5150286.07330000,28354
1651449600000,2022-05-02 00:00:00,BAT/USDT,0.60260000,0.61320000,0.56640000,0.58630000,11382137.00000000,6672401.64950000,34034
1651363200000,2022-05-01 00:00:00,BAT/USDT,0.56920000,0.61130000,0.56210000,0.60260000,15429964.00000000,9060746.46700000,46369
1651276800000,2022-04-30 00:00:00,BAT/USDT,0.62960000,0.66120000,0.55050000,0.56920000,35490097.46000000,22224909.32133600,81950
1651190400000,2022-04-29 00:00:00,BAT/USDT,0.65900000,0.66210000,0.61330000,0.62960000,8747892.00000000,5579771.55810000,32812
1651104000000,2022-04-28 00:00:00,BAT/USDT,0.66930000,0.67890000,0.64940000,0.65910000,7918789.00000000,5252462.79770000,25677
1651017600000,2022-04-27 00:00:00,BAT/USDT,0.65630000,0.67940000,0.64740000,0.66900000,7401573.00000000,4920581.81550000,28307
1650931200000,2022-04-26 00:00:00,BAT/USDT,0.72350000,0.72740000,0.64830000,0.65650000,11503997.00000000,7913645.83520000,43195
1650844800000,2022-04-25 00:00:00,BAT/USDT,0.72290000,0.72470000,0.67550000,0.72320000,10741404.00000000,7517520.72180000,39111
1650758400000,2022-04-24 00:00:00,BAT/USDT,0.73400000,0.74920000,0.71200000,0.72230000,6747794.00000000,4919086.05470000,27254
1650672000000,2022-04-23 00:00:00,BAT/USDT,0.73830000,0.75040000,0.71990000,0.73440000,6302846.00000000,4636645.89340000,26440
1650585600000,2022-04-22 00:00:00,BAT/USDT,0.75130000,0.78560000,0.73180000,0.73810000,13579070.00000000,10303436.57770000,49858
1650499200000,2022-04-21 00:00:00,BAT/USDT,0.76240000,0.82330000,0.74140000,0.75140000,27343505.00000000,21521078.37180000,98269
1650412800000,2022-04-20 00:00:00,BAT/USDT,0.77560000,0.77580000,0.73660000,0.76250000,9448979.00000000,7153750.73470000,37138
1650326400000,2022-04-19 00:00:00,BAT/USDT,0.76150000,0.77700000,0.74460000,0.77560000,8178950.00000000,6202848.72050000,33412
1650240000000,2022-04-18 00:00:00,BAT/USDT,0.72250000,0.76950000,0.69640000,0.76130000,16207069.00000000,11903921.57460000,61262
1650153600000,2022-04-17 00:00:00,BAT/USDT,0.77230000,0.77740000,0.71830000,0.72250000,14079018.00000000,10696540.49970000,51467
1650067200000,2022-04-16 00:00:00,BAT/USDT,0.72430000,0.80010000,0.72360000,0.77200000,32330310.00000000,24645301.18490000,106928
1649980800000,2022-04-15 00:00:00,BAT/USDT,0.72060000,0.73870000,0.71040000,0.72420000,6902690.00000000,5008862.61030000,20615
1649894400000,2022-04-14 00:00:00,BAT/USDT,0.74310000,0.76060000,0.70220000,0.72050000,9093612.00000000,6654875.26560000,32041
1649808000000,2022-04-13 00:00:00,BAT/USDT,0.71970000,0.74320000,0.70610000,0.74270000,7115790.00000000,5164936.74580000,25278
1649721600000,2022-04-12 00:00:00,BAT/USDT,0.68720000,0.72870000,0.68010000,0.71950000,7737448.00000000,5472641.83030000,29753
1649635200000,2022-04-11 00:00:00,BAT/USDT,0.74070000,0.74900000,0.66630000,0.68740000,10149945.00000000,7168674.94630000,38612
1649548800000,2022-04-10 00:00:00,BAT/USDT,0.77100000,0.77740000,0.73920000,0.74120000,5643761.00000000,4296341.24560000,21075
1649462400000,2022-04-09 00:00:00,BAT/USDT,0.74000000,0.77340000,0.73750000,0.77050000,6280116.00000000,4750861.19970000,23828
1649376000000,2022-04-08 00:00:00,BAT/USDT,0.78870000,0.80010000,0.73140000,0.74080000,8736747.00000000,6735718.61080000,36306
1649289600000,2022-04-07 00:00:00,BAT/USDT,0.75100000,0.79680000,0.74320000,0.78880000,9829531.00000000,7615691.24450000,36448
1649203200000,2022-04-06 00:00:00,BAT/USDT,0.84080000,0.84230000,0.74940000,0.75140000,17658230.00000000,14002743.98660000,68146
1649116800000,2022-04-05 00:00:00,BAT/USDT,0.89090000,0.89830000,0.83840000,0.84100000,8708021.00000000,7581630.25840000,35322
1649030400000,2022-04-04 00:00:00,BAT/USDT,0.94740000,0.94870000,0.85400000,0.89060000,14094693.00000000,12623156.73950000,58016
1648944000000,2022-04-03 00:00:00,BAT/USDT,0.92030000,0.98000000,0.91080000,0.94710000,24797272.00000000,23360325.68760000,97241
1648857600000,2022-04-02 00:00:00,BAT/USDT,0.89510000,0.95970000,0.88450000,0.91970000,27912008.00000000,25557326.48880000,121250
1648771200000,2022-04-01 00:00:00,BAT/USDT,0.86680000,0.90000000,0.82370000,0.89450000,17106980.00000000,14892219.41740000,70414
1648684800000,2022-03-31 00:00:00,BAT/USDT,0.89960000,0.93640000,0.85350000,0.86690000,20632659.00000000,18533667.72440000,83650
1648598400000,2022-03-30 00:00:00,BAT/USDT,0.89390000,0.91410000,0.85400000,0.89960000,13380017.00000000,11907850.55440000,55022
1648512000000,2022-03-29 00:00:00,BAT/USDT,0.87200000,0.92180000,0.86280000,0.89400000,15542311.00000000,13916187.62220000,58861
1648425600000,2022-03-28 00:00:00,BAT/USDT,0.90300000,0.92900000,0.86000000,0.87200000,19844002.00000000,18051926.33840000,70001
1648339200000,2022-03-27 00:00:00,BAT/USDT,0.85660000,0.90970000,0.85110000,0.90300000,18830653.00000000,16642696.60790000,79722
1648252800000,2022-03-26 00:00:00,BAT/USDT,0.83360000,0.85900000,0.82570000,0.85680000,6754519.00000000,5684965.38200000,25545
1648166400000,2022-03-25 00:00:00,BAT/USDT,0.85850000,0.88160000,0.82310000,0.83410000,13309260.00000000,11338026.48360000,50945
1648080000000,2022-03-24 00:00:00,BAT/USDT,0.83360000,0.88880000,0.81860000,0.85850000,18443415.00000000,15642556.65750000,63931
1647993600000,2022-03-23 00:00:00,BAT/USDT,0.81240000,0.83810000,0.80010000,0.83370000,10115694.00000000,8306048.75360000,33994
1647907200000,2022-03-22 00:00:00,BAT/USDT,0.81530000,0.83190000,0.80240000,0.81240000,10623478.00000000,8708759.51040000,33428
1647820800000,2022-03-21 00:00:00,BAT/USDT,0.81980000,0.83180000,0.79250000,0.81540000,8371600.00000000,6798618.40510000,31285
1647734400000,2022-03-20 00:00:00,BAT/USDT,0.84070000,0.85290000,0.80520000,0.81980000,10166576.00000000,8416950.15780000,39771
1647648000000,2022-03-19 00:00:00,BAT/USDT,0.84060000,0.88030000,0.83000000,0.84090000,14704978.00000000,12571581.68030000,58549
1647561600000,2022-03-18 00:00:00,BAT/USDT,0.84920000,0.85770000,0.80490000,0.84060000,15670362.00000000,12961839.24420000,55197
