pair,cmo_period,oversold_value,overbought_value,entry_size,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
XMR_BTC,9,-50,50,1.0,10,10.364436257054919,0.3644362570549191,-2.0650176866182943,1.3515262500307852,2.31444980782897,0.07428541857948677,0.013234123002891394,0.0,10,14.41726319129107,4.41726319129107,-34.41026353045606,4,4,0,0,8
LTC_BTC,9,-50,50,1.0,10,12.771328910102712,2.7713289101027136,-32.74516454581771,1.3199375108869007,1.9202354594627724,0.3032120344543446,0.7006780216022493,0.0,10,11.610200914945926,1.6102009149459242,-39.772932663996315,9,2,0,0,11
TRX_BTC,9,-50,50,1.0,10,17.17260843054305,7.17260843054305,-26.944484405725426,2.09627684972302,3.9648826220780937,0.21484300066067938,0.6808144205619097,0.0,10,18.440366972477065,8.440366972477065,-33.088235294117666,8,2,0,0,10
ETC_USDT,9,-50,50,1.0,10,10.25967774566855,0.25967774566855084,-1.9871129543654509,1.5055256929165501,3.21426920187309,0.030475614841064723,0.007105891210605421,0.0,10,38.817172536941385,28.817172536941385,-63.96334162936509,1,0,0,0,1
ETH_USDC,9,-50,50,1.0,10,10.025190130865665,0.025190130865663463,-2.5078580085191935,0.199395350431612,0.2817010920403503,-0.00790094708628321,0.012748488886892822,0.0,10,12.464634665031928,2.4646346650319284,-49.586539629746625,1,0,0,0,1
ATOM_BTC,9,-50,50,1.0,10,10.213930995935575,0.21393099593557707,-30.205170021084683,0.4214038882577787,0.5593997516215509,0.1535020887083249,0.5846509398368086,0.0,10,8.776781569882491,-1.2232184301175089,-38.78795840996959,8,1,0,0,9
EOS_BTC,9,-50,50,1.0,10,13.200437910638513,3.200437910638513,-10.79156626137043,1.96840804350474,3.642406100937841,0.22152973202102996,0.2160628911699494,0.0,10,18.454013822434877,8.454013822434877,-51.41524227693275,12,10,0,0,22
XEM_BTC,9,-50,50,1.0,10,7.377334422262907,-2.6226655777370933,-37.81108859606949,-0.7320252537806525,-0.9594333982525487,-0.2767021762603029,0.3660882038322777,0.0,10,5.417558886509635,-4.582441113490365,-70.48458149779736,9,1,0,0,10
EOS_USDT,9,-50,50,1.0,10,10.487974123,0.48797412300000076,-36.8011891471321,0.499697791192012,0.8001638664463169,-0.309214389411198,0.2939527900896645,0.0,10,11.893254978304155,1.8932549783041548,-70.18677737931034,4,0,0,0,4
BCH_USDT,9,-50,50,1.0,10,9.442501366222709,-0.5574986337772909,-28.078178783131648,-0.08437126261890386,-0.12943814943574797,-0.29985578883811204,0.23745539301272842,0.0,10,9.28968347405298,-0.7103165259470199,-63.81176023890999,6,1,0,0,7
ETC_BTC,9,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,60.56406007996254,50.56406007996253,-41.92197802197801,0,0,0,0,0
BCH_BTC,9,-50,50,1.0,10,14.243026703801597,4.243026703801597,-11.435414744533883,2.050318783669285,4.582846695585823,0.5901758070229206,0.25372879412906535,0.0,10,14.689438943125241,4.689438943125241,-41.35836376328578,9,8,0,0,17
XMR_USDT,9,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,9.216966461546647,-0.7830335384533527,-58.17700542077,0,0,0,0,0
ATOM_USDC,9,-50,50,1.0,10,9.810506820419455,-0.1894931795805448,-9.161460085745428,-0.27970193610805466,-0.3653540507052425,7.432679132841354e-05,0.08410825774003837,0.0,10,5.4091684559801525,-4.5908315440198475,-59.6109290046803,4,1,0,0,5
DOT_USDT,9,-50,50,1.0,10,8.956785110967868,-1.0432148890321322,-28.59793171683327,-0.3175251332814226,-0.4222811998818657,-0.03223529238634355,0.3357427578467345,0.0,10,5.982906132197545,-4.017093867802455,-62.12637910416666,10,4,0,0,14
ATOM_USDT,9,-50,50,1.0,10,8.1835010351,-1.8164989648999992,-36.35567968185149,-0.44373902653837577,-0.574297999186302,-0.11417711792260843,0.4286599756626977,0.0,10,5.596875954596369,-4.403124045403631,-60.18317428321651,7,0,0,0,7
BNB_USDT,9,-50,50,1.0,10,8.796437843099731,-1.2035621569002686,-19.772354849446103,-0.8081296995849233,-1.2430663916637514,-0.37506709090313917,0.1133165065371792,0.0,10,9.314343276770538,-0.6856567232294619,-61.33754060801585,7,0,0,0,7
USDT_USDC,9,-50,50,1.0,10,9.990708879400561,-0.00929112059943904,-0.09291120599441172,-1.8666697123694191,-2.3154872975841534,-0.002482663740824806,0.0887510548728559,0.0,10,10.006078174527783,0.00607817452778292,-0.27734763793398154,4,1,0,0,5
USDJ_USDT,9,-50,50,1.0,10,9.799586410999023,-0.20041358900097705,-2.7621557354822897,-0.7370398435999865,-1.0410418474698222,-0.04284347282668133,0.05898007463342211,0.0,10,9.138883572461882,-0.8611164275381178,-15.741870958015589,3,0,0,0,3
DOGE_USDC,9,-50,50,1.0,10,10.509527544970013,0.5095275449700125,-7.604987357492949,0.6659794776964759,1.2222109739007745,0.004614667503999092,0.020977508831260056,0.0,10,54.98008454013509,44.98008454013509,-54.918611940298526,6,3,0,0,9
SC_USDT,9,-50,50,1.0,10,8.362665328683324,-1.637334671316676,-21.361863943347768,-1.674001537554981,-1.9530118239856518,-0.6040970752671307,0.09141713726055761,0.0,10,12.491754705197444,2.491754705197444,-71.85520345021565,3,0,0,0,3
EOS_USDC,9,-50,50,1.0,10,10.538385954175816,0.5383859541758156,-44.25623767106061,0.5480476586610227,0.8936393741746056,-0.3231635791916759,0.3662668649223034,0.0,10,11.88798230002984,1.8879823000298401,-70.48016284530388,5,0,0,0,5
LSK_BTC,9,-50,50,1.0,10,11.957682915145947,1.9576829151459467,-34.35935446550359,0.9561974598081169,1.5367356166700652,-0.10724415315534395,0.563959158298994,0.0,10,13.54470605228947,3.54470605228947,-43.85026737967914,18,9,0,0,27
BTT_USDT,9,-50,50,1.0,10,10.104046093775043,0.10404609377504315,-25.325507487500925,0.24577680892600265,0.3409110617356482,-0.4416610246748115,0.1285255648343402,0.0,10,25.604345508612464,15.604345508612461,-68.5005518288626,6,1,0,0,7
DASH_BTC,9,-50,50,1.0,10,13.69870781903758,3.6987078190375797,-28.13463461492574,1.4596667783447936,2.67052098412872,0.8918440070309602,0.6786424646269444,0.0,10,9.011684207074046,-0.9883157929259543,-44.61732198904353,11,5,0,0,16
TUSD_USDT,9,-50,50,1.0,10,9.998169934863661,-0.0018300651363389875,-0.2422297785999331,-0.08910966650423373,-0.12543365957369434,-0.00027010214581046514,0.09588179119776097,0.0,10,9.987376073057783,-0.012623926942216812,-2.4210704402952823,1,0,0,0,1
BCH_USDC,9,-50,50,1.0,10,8.23655751145463,-1.7634424885453708,-43.388588033273926,-0.3620540427232943,-0.5769495992241156,-0.6364047038597335,0.3396442516440298,0.0,10,9.41895887269572,-0.5810411273042799,-63.878284296471165,11,1,0,0,12
AMP_USDT,9,-50,50,1.0,10,11.217357611288,1.2173576112879996,-14.460713589263104,1.02997268004857,1.806181461917093,0.02844558935705829,0.18620076099954805,0.0,10,12.036056835162213,2.0360568351622135,-59.85505327274674,4,1,0,0,5
XRP_USDC,9,-50,50,1.0,10,8.211007738188894,-1.7889922618111065,-20.43288523023254,-1.5736780360023377,-1.7810623658992357,-0.6695907709821115,0.08638456303631498,0.0,10,15.69620585106383,5.69620585106383,-57.295937687754126,5,0,0,0,5
JST_USDT,9,-50,50,1.0,10,5.88581189857412,-4.11418810142588,-49.178067466168464,-1.4792129023042797,-1.8068141026748439,-1.3818887861571167,0.25964586418192787,0.0,10,9.554838538589843,-0.4451614614101569,-67.88357631049766,9,0,0,0,9
DASH_USDT,9,-50,50,1.0,10,10.091432505111984,0.09143250511198353,-11.100749515293526,0.2271112070494376,0.33214249079259583,0.0589018711381347,0.07648769515401731,0.0,10,5.755241459973529,-4.244758540026471,-65.62495410434073,4,1,0,0,5
ETC_ETH,9,-50,50,1.0,10,10.739211088250723,0.7392110882507232,-7.844071339633368,1.2490244492138471,2.1173682422452913,0.07785723452349178,0.029713962586576492,0.0,10,31.544166243009656,21.544166243009656,-40.09094566938282,4,1,0,0,5
ZEC_USDT,9,-50,50,1.0,10,10.6273073305565,0.6273073305564996,-5.208647054735912,1.5301257525352103,2.452860682735628,0.13994377427497792,0.026984435017260795,0.0,10,8.567532437110051,-1.4324675628899488,-63.60907210406048,3,2,0,0,5
KCS_USDT,9,-50,50,1.0,10,8.849239152,-1.1507608479999991,-11.507608480000002,-2.31012000491671,-2.963727302116526,-0.46804650321578756,0.11205221313575853,0.0,10,4.816688336960237,-5.183311663039763,-63.727304241628424,7,0,0,0,7
QTUM_BTC,9,-50,50,1.0,10,10.694839460647916,0.6948394606479162,-2.3904103232981173,1.7166720623836684,2.935826588106125,0.11273997569542159,0.018552520548344973,0.0,10,24.657471264367818,14.657471264367818,-49.23689307988678,4,3,0,0,7
LSK_USDT,9,-50,50,1.0,10,10.242597804383685,0.24259780438368495,-4.182074397971687,0.5454890794312548,1.048434662573493,0.04222413390636754,0.02566527490928747,0.0,10,8.646830128501573,-1.3531698714984266,-65.62582185158561,4,3,0,0,7
SC_BTC,9,-50,50,1.0,10,14.647186107186158,4.647186107186158,-36.4806867610382,1.5759872729698978,2.6944690242556666,-0.18048676789841878,0.5535887067700548,0.0,10,19.583333333333336,9.583333333333336,-50.000000000000014,4,0,0,0,4
BTC_USDT,10,-50,50,1.0,10,8.7471121495544,-1.2528878504455996,-17.68256154460713,-1.5979184422376755,-1.9919186119005954,-0.1317465880911324,0.21345556358876563,0.0,10,6.392170177540782,-3.607829822459218,-45.57995454092219,4,0,0,0,4
DOGE_BTC,10,-50,50,1.0,10,14.697201176972438,4.697201176972438,-12.186533795810751,2.0038007687130355,4.792618776274128,-0.3540193372626541,0.18993026551519773,0.0,10,86.06060606060606,76.06060606060606,-34.359400998336106,2,1,0,0,3
